Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,11,183,194,5.670103093,94.32989691
2017 Q2,12,170,182,6.593406593,93.40659341
2017 Q3,12,191,203,5.911330049,94.08866995
2017 Q4,11,190,201,5.472636816,94.52736318
2018 Q1,10,190,200,5,95
2018 Q2,18,191,209,8.612440191,91.38755981
2018 Q3,16,201,217,7.373271889,92.62672811
2018 Q4,12,178,190,6.315789474,93.68421053
2019 Q1,17,165,182,9.340659341,90.65934066
2019 Q2,16,160,176,9.090909091,90.90909091
2019 Q3,20,213,233,8.583690987,91.41630901
2019 Q4,20,174,194,10.30927835,89.69072165
2020 Q1,28,185,213,13.14553991,86.85446009
2020 Q2,26,186,212,12.26415094,87.73584906
2020 Q3,25,203,228,10.96491228,89.03508772
2020 Q4,24,151,175,13.71428571,86.28571429
2021 Q1,43,181,224,19.19642857,80.80357143
2021 Q2,17,196,213,7.981220657,92.01877934
2021 Q3,25,194,219,11.41552511,88.58447489
2021 Q4,18,165,183,9.836065574,90.16393443
2022 Q1,18,169,187,9.625668449,90.37433155
2022 Q2,22,159,181,12.15469613,87.84530387
2022 Q3,17,192,209,8.133971292,91.86602871
2022 Q4,17,177,194,8.762886598,91.2371134
2023 Q1,18,214,232,7.75862069,92.24137931
2023 Q2,19,185,204,9.31372549,90.68627451
2023 Q3,31,216,247,12.55060729,87.44939271
2023 Q4,37,176,213,17.37089202,82.62910798
2024 Q1,28,209,237,11.81434599,88.18565401
2024 Q2,29,209,238,12.18487395,87.81512605
2024 Q3,24,199,223,10.76233184,89.23766816
2024 Q4,28,208,236,11.86440678,88.13559322
2025 Q1,17,196,213,7.981220657,92.01877934
2025 Q2,20,174,194,10.30927835,89.69072165
2025 Q3,26,190,216,12.03703704,87.96296296
2025 Q4,21,163,184,11.41304348,88.58695652
