Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,178,129,168,475
2017 Q2,169,131,160,460
2017 Q3,166,146,122,434
2017 Q4,175,137,157,469
2018 Q1,178,151,142,471
2018 Q2,224,148,147,519
2018 Q3,232,119,135,486
2018 Q4,199,135,127,461
2019 Q1,229,139,126,494
2019 Q2,225,141,122,488
2019 Q3,193,129,107,429
2019 Q4,219,124,124,467
2020 Q1,187,125,87,399
2020 Q2,89,53,59,201
2020 Q3,157,62,86,305
2020 Q4,174,64,73,311
2021 Q1,184,82,82,348
2021 Q2,172,88,81,341
2021 Q3,201,76,82,359
2021 Q4,225,90,74,389
2022 Q1,225,76,78,379
2022 Q2,283,105,66,454
2022 Q3,232,87,74,393
2022 Q4,242,111,71,424
2023 Q1,288,86,99,473
2023 Q2,273,123,102,498
2023 Q3,235,97,105,437
2023 Q4,228,99,72,399
2024 Q1,231,100,102,433
2024 Q2,226,126,93,445
2024 Q3,234,109,117,460
2024 Q4,167,41,71,279
2025 Q1,153,53,48,254
2025 Q2,203,108,84,395
2025 Q3,234,84,88,406
2025 Q4,179,99,77,355
