Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,15.7143,17.1837
2017 Q2,15.2857,18.3478
2017 Q3,13.5789,16.7674
2017 Q4,15,15.186
2018 Q1,15.9444,17.4583
2018 Q2,16.4182,16.8889
2018 Q3,15.1803,16.4091
2018 Q4,14.3065,18.2273
2019 Q1,13.0303,17.7442
2019 Q2,13.5616,17.2931
2019 Q3,13.6986,14.5345
2019 Q4,13.8857,15.4035
2020 Q1,12.7727,13.9492
2020 Q2,11.7097,11.2903
2020 Q3,12.5208,12.6429
2020 Q4,12.1667,12.3171
2021 Q1,11.9057,12.975
2021 Q2,11.6042,13.6735
2021 Q3,13.7609,15.1026
2021 Q4,13.5,14.225
2022 Q1,13.8723,14.0233
2022 Q2,14.2683,16
2022 Q3,16.6087,16.2128
2022 Q4,13.5217,14.7674
2023 Q1,15.7045,16.9762
2023 Q2,16.325,15.878
2023 Q3,17.3902,15.3409
2023 Q4,17.1707,17.2895
2024 Q1,19.2703,17.6905
2024 Q2,20.2821,15.878
2024 Q3,21.2564,19.4324
2024 Q4,22.0541,15.2593
2025 Q1,22,15.4138
2025 Q2,26.6667,21.1765
2025 Q3,27.125,22.5938
2025 Q4,27.7586,21.9355
