Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,172.5880,145.0000
2017 Q2,174.8127,132.0000
2017 Q3,159.8391,122.0000
2017 Q4,166.0269,126.0000
2018 Q1,167.6985,124.0000
2018 Q2,167.6328,117.0000
2018 Q3,158.0231,122.0000
2018 Q4,157.3521,121.0000
2019 Q1,170.6765,139.0000
2019 Q2,160.9400,119.0000
2019 Q3,168.7744,128.0000
2019 Q4,168.5104,126.0000
2020 Q1,172.9511,132.0000
2020 Q2,201.0443,173.0000
2020 Q3,216.7703,181.0000
2020 Q4,214.7681,199.0000
2021 Q1,244.9593,223.0000
2021 Q2,253.8679,211.0000
2021 Q3,227.0113,172.0000
2021 Q4,256.9119,185.0000
2022 Q1,238.8646,172.0000
2022 Q2,243.0109,170.0000
2022 Q3,228.1299,169.0000
2022 Q4,240.8519,178.0000
2023 Q1,255.1277,189.0000
2023 Q2,234.2392,180.5000
2023 Q3,218.5557,157.0000
2023 Q4,219.6360,164.0000
2024 Q1,221.1120,162.5000
2024 Q2,212.7349,160.0000
2024 Q3,220.7642,173.0000
2024 Q4,232.9344,171.0000
2025 Q1,226.2669,172.0000
2025 Q2,219.6717,164.0000
2025 Q3,208.9777,152.0000
2025 Q4,195.3055,150.0000
