Disposition Quarter,Average number of hearings per case
2017 Q1,5.7963
2017 Q2,5.6656
2017 Q3,5.2973
2017 Q4,5.5378
2018 Q1,6.1925
2018 Q2,6.4198
2018 Q3,6.4605
2018 Q4,6.4017
2019 Q1,6.6397
2019 Q2,6.3265
2019 Q3,6.4946
2019 Q4,6.5852
2020 Q1,6.7944
2020 Q2,7.1617
2020 Q3,7.7158
2020 Q4,7.2677
2021 Q1,8.4832
2021 Q2,8.7524
2021 Q3,7.8112
2021 Q4,8.3108
2022 Q1,7.9251
2022 Q2,7.9165
2022 Q3,7.7091
2022 Q4,7.9594
2023 Q1,8.6399
2023 Q2,8.1324
2023 Q3,7.7344
2023 Q4,7.6481
2024 Q1,7.9028
2024 Q2,7.9486
2024 Q3,7.9415
2024 Q4,8.0907
2025 Q1,7.8772
2025 Q2,7.9239
2025 Q3,7.6448
2025 Q4,7.6888
