Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,2114,568,2682,78.82177479,21.17822521
2017 Q2,1970,542,2512,78.42356688,21.57643312
2017 Q3,1900,568,2468,76.98541329,23.01458671
2017 Q4,2241,1068,3309,67.72438803,32.27561197
2018 Q1,2737,1729,4466,61.28526646,38.71473354
2018 Q2,3073,930,4003,76.76742443,23.23257557
2018 Q3,2553,1053,3606,70.79866889,29.20133111
2018 Q4,2621,1212,3833,68.37985912,31.62014088
2019 Q1,2903,1016,3919,74.07501914,25.92498086
2019 Q2,2960,991,3951,74.91774234,25.08225766
2019 Q3,3142,596,3738,84.05564473,15.94435527
2019 Q4,2990,810,3800,78.68421053,21.31578947
2020 Q1,2415,1066,3481,69.37661591,30.62338409
2020 Q2,1903,427,2330,81.67381974,18.32618026
2020 Q3,2194,403,2597,84.48209472,15.51790528
2020 Q4,1828,473,2301,79.44372012,20.55627988
2021 Q1,2421,692,3113,77.77063925,22.22936075
2021 Q2,2400,1117,3517,68.23997725,31.76002275
2021 Q3,2786,857,3643,76.47543234,23.52456766
2021 Q4,2777,743,3520,78.89204545,21.10795455
2022 Q1,3197,620,3817,83.75687713,16.24312287
2022 Q2,2814,687,3501,80.37703513,19.62296487
2022 Q3,2338,748,3086,75.76150356,24.23849644
2022 Q4,2184,795,2979,73.31319235,26.68680765
2023 Q1,2773,452,3225,85.98449612,14.01550388
2023 Q2,2969,437,3406,87.16970053,12.83029947
2023 Q3,2577,453,3030,85.04950495,14.95049505
2023 Q4,2637,453,3090,85.33980583,14.66019417
2024 Q1,2961,759,3720,79.59128798,20.40871202
2024 Q2,3215,873,4088,78.65003668,21.34996332
2024 Q3,2869,789,3658,78.42493847,21.57506153
2024 Q4,2229,469,2698,82.61675315,17.38324685
2025 Q1,1659,394,2053,80.85629921,19.14370079
2025 Q2,2461,755,3216,76.25079164,23.74920836
2025 Q3,2313,635,2948,78.39266831,21.60733169
2025 Q4,2090,606,2696,78.82177479,21.17822521
