Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,652,433,1085,60.0921659,39.9078341
2017 Q2,652,549,1201,54.28809326,45.71190674
2017 Q3,567,558,1125,50.4,49.6
2017 Q4,600,551,1151,52.12858384,47.87141616
2018 Q1,591,550,1141,51.79666959,48.20333041
2018 Q2,605,656,1261,47.9777954,52.0222046
2018 Q3,610,603,1213,50.28854081,49.71145919
2018 Q4,649,646,1295,50.11583012,49.88416988
2019 Q1,779,612,1391,56.00287563,43.99712437
2019 Q2,622,627,1249,49.79983987,50.20016013
2019 Q3,640,548,1188,53.87205387,46.12794613
2019 Q4,581,526,1107,52.48419151,47.51580849
2020 Q1,588,476,1064,55.26315789,44.73684211
2020 Q2,386,178,564,68.43971631,31.56028369
2020 Q3,621,206,827,75.09068924,24.90931076
2020 Q4,586,186,772,75.90673575,24.09326425
2021 Q1,699,211,910,76.81318681,23.18681319
2021 Q2,660,256,916,72.05240175,27.94759825
2021 Q3,620,350,970,63.91752577,36.08247423
2021 Q4,560,291,851,65.80493537,34.19506463
2022 Q1,569,310,879,64.73265074,35.26734926
2022 Q2,605,314,919,65.83242655,34.16757345
2022 Q3,566,319,885,63.95480226,36.04519774
2022 Q4,526,291,817,64.38188494,35.61811506
2023 Q1,590,279,869,67.89413119,32.10586881
2023 Q2,586,296,882,66.4399093,33.5600907
2023 Q3,461,293,754,61.14058355,38.85941645
2023 Q4,459,258,717,64.0167364,35.9832636
2024 Q1,481,269,750,64.13333333,35.86666667
2024 Q2,469,274,743,63.12247645,36.87752355
2024 Q3,502,291,793,63.30390921,36.69609079
2024 Q4,330,173,503,65.60636183,34.39363817
2025 Q1,371,191,562,66.01423488,33.98576512
2025 Q2,411,250,661,62.08459215,37.91540785
2025 Q3,431,286,717,60.16713092,39.83286908
2025 Q4,365,234,599,60.0921659,39.9078341
