Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,335,540,875,38.28571429
2017 Q2,392,581,973,40.28776978
2017 Q3,409,495,904,45.24336283
2017 Q4,388,567,955,40.62827225
2018 Q1,382,594,976,39.13934426
2018 Q2,452,601,1053,42.92497626
2018 Q3,440,572,1012,43.47826087
2018 Q4,484,609,1093,44.28179323
2019 Q1,539,643,1182,45.60067682
2019 Q2,481,589,1070,44.95327103
2019 Q3,473,532,1005,47.06467662
2019 Q4,458,462,920,49.7826087
2020 Q1,454,451,905,50.16574586
2020 Q2,215,232,447,48.098434
2020 Q3,318,337,655,48.54961832
2020 Q4,292,315,607,48.10543657
2021 Q1,313,395,708,44.20903955
2021 Q2,305,418,723,42.18533887
2021 Q3,373,388,761,49.01445466
2021 Q4,278,401,679,40.94256259
2022 Q1,288,389,677,42.54062038
2022 Q2,284,433,717,39.60948396
2022 Q3,297,396,693,42.85714286
2022 Q4,267,380,647,41.26738794
2023 Q1,292,391,683,42.75256223
2023 Q2,300,365,665,45.11278195
2023 Q3,276,319,595,46.38655462
2023 Q4,274,285,559,49.01610018
2024 Q1,257,317,574,44.77351916
2024 Q2,258,303,561,45.98930481
2024 Q3,261,325,586,44.53924915
2024 Q4,202,189,391,51.66240409
2025 Q1,206,227,433,47.57505774
2025 Q2,230,265,495,46.46464646
2025 Q3,262,264,526,49.71537002
2025 Q4,223,244,467,38.28571429
