Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,69,163,232,29.74137931,113,282,395,28.35443038
2017 Q2,59,162,221,26.24434389,149,319,468,31.83760684
2017 Q3,61,140,201,30.84577114,156,317,473,33.19238901
2017 Q4,62,143,205,29.75609756,205,637,842,24.58432304
2018 Q1,64,176,240,26.66666667,218,806,1024,21.19140625
2018 Q2,63,180,243,25.51440329,233,829,1062,22.03389831
2018 Q3,64,166,230,27.82608696,231,755,986,23.12373225
2018 Q4,75,167,242,30.99173554,251,812,1063,23.51834431
2019 Q1,54,170,224,24.55357143,256,863,1119,22.96693476
2019 Q2,61,145,206,29.61165049,239,801,1040,22.88461538
2019 Q3,58,136,194,29.89690722,220,812,1032,21.22093023
2019 Q4,36,133,169,21.30177515,258,822,1080,23.7962963
2020 Q1,59,166,225,26.22222222,214,745,959,22.41918665
2020 Q2,18,64,82,20.73170732,70,317,387,18.34625323
2020 Q3,26,110,136,19.11764706,163,705,868,18.89400922
2020 Q4,27,105,132,19.6969697,139,605,744,18.6827957
2021 Q1,27,137,164,16.46341463,137,642,779,17.58664955
2021 Q2,42,127,169,24.26035503,131,673,804,16.16915423
2021 Q3,40,120,160,25,151,727,878,17.19817768
2021 Q4,37,125,162,22.83950617,129,668,797,16.06022585
2022 Q1,31,123,154,20.12987013,150,717,867,17.30103806
2022 Q2,37,153,190,19.47368421,168,660,828,20.04830918
2022 Q3,39,123,162,23.45679012,143,617,760,18.81578947
2022 Q4,31,111,142,21.83098592,133,591,724,18.50828729
2023 Q1,40,133,173,23.12138728,155,632,787,19.56797967
2023 Q2,37,111,148,25,120,607,727,16.91884457
2023 Q3,38,88,126,28.57142857,136,523,659,20.78907436
2023 Q4,29,91,120,24.16666667,102,526,628,16.24203822
2024 Q1,27,96,123,21.95121951,149,594,743,20.08086253
2024 Q2,42,98,140,29.28571429,141,655,796,17.5879397
2024 Q3,36,99,135,26.66666667,148,558,706,20.67988669
2024 Q4,13,67,80,15,112,402,514,21.78988327
