Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,58,84,64,104,141,17,5,6,479,26.51356994,17.53653445,55.94989562
2017 Q2,66,94,91,109,161,19,7,6,553,24.23146474,16.99819168,58.77034358
2017 Q3,83,119,64,106,137,11,9,8,537,23.27746741,22.16014898,54.56238361
2017 Q4,87,185,89,146,164,22,33,12,738,24.3902439,25.06775068,50.54200542
2018 Q1,79,199,109,170,153,18,54,15,797,25.47051443,24.96863237,49.5608532
2018 Q2,100,229,108,136,169,18,49,14,823,20.41312272,27.82503038,51.7618469
2018 Q3,82,163,88,141,163,19,38,14,708,24.57627119,23.02259887,52.40112994
2018 Q4,108,174,86,129,187,18,32,16,750,21.73333333,23.2,55.06666667
2019 Q1,128,188,93,169,197,23,29,14,841,24.49464923,22.35434007,53.1510107
2019 Q2,108,204,108,176,177,22,26,21,842,26.00950119,24.2280285,49.76247031
2019 Q3,119,167,96,182,175,24,38,11,812,26.72413793,20.56650246,52.70935961
2019 Q4,68,158,80,146,159,11,44,12,678,24.92625369,23.30383481,51.7699115
2020 Q1,81,117,63,145,136,13,28,5,588,27.72108844,19.89795918,52.38095238
2020 Q2,22,46,23,43,53,11,3,7,208,29.32692308,22.11538462,48.55769231
2020 Q3,28,113,32,121,117,8,17,6,442,30.54298643,25.56561086,43.89140271
2020 Q4,23,95,27,134,104,9,14,5,411,36.00973236,23.11435523,40.87591241
2021 Q1,25,125,48,113,153,9,12,13,498,27.10843373,25.10040161,47.79116466
2021 Q2,33,129,44,115,129,16,13,11,490,28.97959184,26.32653061,44.69387755
2021 Q3,49,133,44,122,178,12,24,11,573,25.30541012,23.21116928,51.48342059
2021 Q4,43,116,36,120,143,9,11,7,485,28.04123711,23.91752577,48.04123711
2022 Q1,32,126,52,108,136,8,14,10,486,25.92592593,25.92592593,48.14814815
2022 Q2,32,143,41,118,173,11,15,17,550,26.54545455,26,47.45454545
2022 Q3,53,140,42,113,152,11,10,11,532,25.37593985,26.31578947,48.30827068
2022 Q4,45,95,51,107,158,3,12,19,490,26.32653061,19.3877551,54.28571429
2023 Q1,58,116,66,104,143,14,13,11,525,24.57142857,22.0952381,53.33333333
2023 Q2,47,106,42,93,136,16,12,9,461,25.59652928,22.99349241,51.40997831
2023 Q3,48,76,60,101,124,5,3,10,427,27.16627635,17.79859485,55.03512881
2023 Q4,46,90,41,88,99,11,2,6,383,27.4151436,23.49869452,49.08616188
2024 Q1,61,109,41,92,95,6,7,5,416,24.75961538,26.20192308,49.03846154
2024 Q2,34,99,54,92,105,9,10,9,412,26.69902913,24.02912621,49.27184466
2024 Q3,54,91,53,88,94,13,6,9,408,26.96078431,22.30392157,50.73529412
2024 Q4,33,64,20,66,81,4,3,4,275,26.90909091,23.27272727,49.81818182
2025 Q1,27,63,29,69,57,10,4,4,263,31.55893536,23.95437262,44.48669202
2025 Q2,38,107,32,74,98,10,11,7,377,24.13793103,28.38196286,47.4801061
2025 Q3,48,81,28,87,104,5,5,8,366,27.32240437,22.13114754,50.54644809
2025 Q4,37,49,40,88,81,4,8,7,314,31.52866242,15.60509554,52.86624204
