Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of sentenced defendants detained pretrial
2017 Q1,1759,279,2038,13.68989205
2017 Q2,1751,376,2127,17.67748002
2017 Q3,1595,358,1953,18.33077317
2017 Q4,1659,492,2151,22.87308229
2018 Q1,1770,559,2329,24.00171748
2018 Q2,1778,567,2345,24.17910448
2018 Q3,1615,565,2180,25.91743119
2018 Q4,1742,550,2292,23.9965096
2019 Q1,1744,642,2386,26.90695725
2019 Q2,1623,653,2276,28.69068541
2019 Q3,1592,648,2240,28.92857143
2019 Q4,1522,607,2129,28.51103805
2020 Q1,1559,489,2048,23.87695313
2020 Q2,558,200,758,26.38522427
2020 Q3,1227,359,1586,22.63556116
2020 Q4,998,394,1392,28.3045977
2021 Q1,1173,448,1621,27.63726095
2021 Q2,1176,478,1654,28.89963724
2021 Q3,1181,615,1796,34.24276169
2021 Q4,1059,546,1605,34.01869159
2022 Q1,1122,548,1670,32.81437126
2022 Q2,1127,641,1768,36.25565611
2022 Q3,1129,568,1697,33.47083088
2022 Q4,1008,581,1589,36.56387665
2023 Q1,1093,632,1725,36.63768116
2023 Q2,1007,551,1558,35.36585366
2023 Q3,892,552,1444,38.22714681
2023 Q4,886,503,1389,36.21310295
2024 Q1,997,521,1518,34.32147563
2024 Q2,1051,594,1645,36.10942249
2024 Q3,999,560,1559,35.92046183
2024 Q4,681,415,1096,37.8649635
2025 Q1,614,377,991,38.04238143
2025 Q2,801,457,1258,36.32750397
2025 Q3,857,539,1396,38.61031519
2025 Q4,807,399,1206,33.08457711
