Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,127,228,50,176
2017 Q2,112,221,46,221
2017 Q3,125,201,50,177
2017 Q4,102,203,63,200
2018 Q1,86,239,53,197
2018 Q2,106,242,71,198
2018 Q3,73,229,64,191
2018 Q4,92,241,55,210
2019 Q1,92,222,71,220
2019 Q2,94,205,66,211
2019 Q3,89,191,58,186
2019 Q4,78,166,48,179
2020 Q1,84,223,35,141
2020 Q2,54,80,16,86
2020 Q3,83,135,39,114
2020 Q4,96,131,46,95
2021 Q1,81,162,54,136
2021 Q2,83,166,56,134
2021 Q3,88,156,67,117
2021 Q4,70,157,57,122
2022 Q1,97,151,53,125
2022 Q2,109,190,59,139
2022 Q3,98,159,41,149
2022 Q4,93,140,47,134
2023 Q1,96,169,38,130
2023 Q2,119,141,38,133
2023 Q3,77,126,33,118
2023 Q4,80,119,18,108
2024 Q1,95,119,25,127
2024 Q2,94,134,23,110
2024 Q3,102,135,33,104
2024 Q4,51,74,28,69
2025 Q1,80,108,10,73
2025 Q2,98,101,21,91
2025 Q3,90,118,23,87
2025 Q4,64,88,12,88
