Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,68.0,166.0,234.0,29.05982906,110.0,284.0,394.0,27.91878173
2017 Q2,54.0,169.0,223.0,24.21524664,142.0,325.0,467.0,30.40685225
2017 Q3,57.0,143.0,200.0,28.5,145.0,329.0,474.0,30.5907173
2017 Q4,63.0,145.0,208.0,30.28846154,195.0,644.0,839.0,23.24195471
2018 Q1,64.0,173.0,237.0,27.00421941,217.0,804.0,1021.0,21.25367287
2018 Q2,61.0,183.0,244.0,25.0,224.0,837.0,1061.0,21.11215834
2018 Q3,64.0,165.0,229.0,27.94759825,228.0,757.0,985.0,23.14720812
2018 Q4,73.0,167.0,240.0,30.41666667,244.0,814.0,1058.0,23.06238185
2019 Q1,54.0,170.0,224.0,24.10714286,251.0,868.0,1119.0,22.43074173
2019 Q2,58.0,148.0,206.0,28.15533981,233.0,804.0,1037.0,22.46865959
2019 Q3,58.0,139.0,197.0,29.44162437,223.0,807.0,1030.0,21.65048544
2019 Q4,33.0,137.0,170.0,19.41176471,247.0,828.0,1075.0,22.97674419
2020 Q1,59.0,165.0,224.0,26.33928571,205.0,750.0,955.0,21.46596859
2020 Q2,16.0,65.0,81.0,19.75308642,65.0,317.0,382.0,17.01570681
2020 Q3,24.0,113.0,137.0,17.51824818,152.0,718.0,870.0,17.47126437
2020 Q4,28.0,104.0,132.0,21.21212121,137.0,602.0,739.0,18.53856563
2021 Q1,27.0,131.0,158.0,17.08860759,132.0,643.0,775.0,17.03225806
2021 Q2,41.0,129.0,170.0,24.11764706,131.0,672.0,803.0,16.31382316
2021 Q3,40.0,118.0,158.0,25.3164557,149.0,727.0,876.0,17.00913242
2021 Q4,37.0,126.0,163.0,22.6993865,128.0,667.0,795.0,16.10062893
2022 Q1,33.0,121.0,154.0,21.42857143,151.0,716.0,867.0,17.41637832
