Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,6,84,90,6.666666667,93.33333333
2017 Q2,4,74,78,5.128205128,94.87179487
2017 Q3,2,90,92,2.173913043,97.82608696
2017 Q4,4,76,80,5,95
2018 Q1,7,62,69,10.14492754,89.85507246
2018 Q2,5,67,72,6.944444444,93.05555556
2018 Q3,8,72,80,10,90
2018 Q4,5,85,90,5.555555556,94.44444444
2019 Q1,3,75,78,3.846153846,96.15384615
2019 Q2,9,67,76,11.84210526,88.15789474
2019 Q3,6,89,95,6.315789474,93.68421053
2019 Q4,10,66,76,13.15789474,86.84210526
2020 Q1,11,75,86,12.79069767,87.20930233
2020 Q2,13,80,93,13.97849462,86.02150538
2020 Q3,12,75,87,13.79310345,86.20689655
2020 Q4,19,86,105,18.0952381,81.9047619
2021 Q1,11,72,83,13.25301205,86.74698795
2021 Q2,10,89,99,10.1010101,89.8989899
2021 Q3,17,83,100,17,83
2021 Q4,11,76,87,12.64367816,87.35632184
2022 Q1,9,83,92,9.782608696,90.2173913
2022 Q2,7,89,96,7.291666667,92.70833333
2022 Q3,21,77,98,21.42857143,78.57142857
2022 Q4,20,96,116,17.24137931,82.75862069
2023 Q1,12,109,121,9.917355372,90.08264463
2023 Q2,14,85,99,14.14141414,85.85858586
2023 Q3,19,95,114,16.66666667,83.33333333
2023 Q4,17,125,142,11.97183099,88.02816901
2024 Q1,21,88,109,19.26605505,80.73394495
2024 Q2,13,107,120,10.83333333,89.16666667
2024 Q3,15,90,105,14.28571429,85.71428571
2024 Q4,12,102,114,10.52631579,89.47368421
2025 Q1,13,81,94,13.82978723,86.17021277
2025 Q2,15,101,116,12.93103448,87.06896552
2025 Q3,21,99,120,17.5,82.5
2025 Q4,12,94,106,11.32075472,88.67924528
