Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,186.1579,155
2017 Q2,197.9088,154.5
2017 Q3,213.8349,171
2017 Q4,202.8492,171.5
2018 Q1,213.2736,158
2018 Q2,214.5271,168
2018 Q3,194.9242,147
2018 Q4,213.9135,158
2019 Q1,211.0222,168.5
2019 Q2,221.8478,167
2019 Q3,221.3871,150
2019 Q4,218.266,146
2020 Q1,205.9032,157
2020 Q2,239.0493,181.5
2020 Q3,276.9586,241.5
2020 Q4,252.4797,219.5
2021 Q1,281.7157,253.5
2021 Q2,316.7341,289
2021 Q3,318.0958,266
2021 Q4,327.9655,291.5
2022 Q1,327.5304,273
2022 Q2,301.2682,216.5
2022 Q3,281.855,200
2022 Q4,311.304,252
2023 Q1,301.6229,267
2023 Q2,303.9253,275
2023 Q3,299.2093,248
2023 Q4,285.7727,210
2024 Q1,287.3673,248
2024 Q2,277.3799,225
2024 Q3,264.4145,223
2024 Q4,268.5695,227
2025 Q1,253.4393,217
2025 Q2,269.5031,234
