Disposition Quarter,Average number of hearings per case
2017 Q1,7.8261
2017 Q2,7.8224
2017 Q3,7.7562
2017 Q4,8.1105
2018 Q1,7.6657
2018 Q2,7.7608
2018 Q3,7.3099
2018 Q4,7.4699
2019 Q1,7.4448
2019 Q2,7.9086
2019 Q3,7.7522
2019 Q4,8.2951
2020 Q1,8.1491
2020 Q2,8.0147
2020 Q3,9.1544
2020 Q4,9.2295
2021 Q1,9.5993
2021 Q2,10.2199
2021 Q3,10.5967
2021 Q4,10.4362
2022 Q1,10.2483
2022 Q2,9.7179
2022 Q3,9.1769
2022 Q4,10.3132
2023 Q1,9.8822
2023 Q2,9.1718
2023 Q3,9.3197
2023 Q4,9.4328
2024 Q1,9.0133
2024 Q2,9.2848
2024 Q3,8.4721
2024 Q4,7.8224
2025 Q1,8.0461
