Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,4.0,31.0,67.0,50.0,42.0,51.0,245.0,12.65306122,27.34693878
2017 Q2,7.0,32.0,64.0,59.0,44.0,51.0,257.0,12.45136187,24.90272374
2017 Q3,2.0,27.0,66.0,65.0,40.0,53.0,253.0,10.67193676,26.08695652
2017 Q4,6.0,44.0,52.0,44.0,53.0,57.0,256.0,17.1875,20.3125
2018 Q1,4.0,32.0,46.0,50.0,31.0,58.0,221.0,14.47963801,20.81447964
2018 Q2,2.0,41.0,52.0,51.0,36.0,60.0,242.0,16.94214876,21.48760331
2018 Q3,1.0,41.0,80.0,53.0,54.0,76.0,305.0,13.44262295,26.2295082
2018 Q4,3.0,50.0,55.0,39.0,43.0,60.0,250.0,20.0,22.0
2019 Q1,7.0,30.0,57.0,40.0,40.0,56.0,230.0,13.04347826,24.7826087
2019 Q2,6.0,38.0,53.0,63.0,36.0,44.0,240.0,15.83333333,22.08333333
2019 Q3,3.0,41.0,75.0,57.0,54.0,63.0,293.0,13.99317406,25.59726962
2019 Q4,5.0,42.0,63.0,46.0,52.0,57.0,265.0,15.8490566,23.77358491
2020 Q1,2.0,33.0,51.0,39.0,49.0,52.0,226.0,14.60176991,22.56637168
2020 Q2,7.0,35.0,37.0,45.0,35.0,51.0,210.0,16.66666667,17.61904762
2020 Q3,5.0,27.0,66.0,54.0,67.0,61.0,280.0,9.642857143,23.57142857
2020 Q4,3.0,39.0,53.0,62.0,41.0,71.0,269.0,14.49814126,19.70260223
2021 Q1,2.0,31.0,46.0,69.0,53.0,43.0,244.0,12.70491803,18.85245902
2021 Q2,4.0,38.0,66.0,61.0,42.0,60.0,271.0,14.02214022,24.35424354
2021 Q3,4.0,53.0,70.0,42.0,38.0,47.0,254.0,20.86614173,27.55905512
2021 Q4,3.0,21.0,75.0,39.0,37.0,56.0,231.0,9.090909091,32.46753247
2022 Q1,2.0,21.0,56.0,42.0,38.0,45.0,204.0,10.29411765,27.45098039
2022 Q2,1.0,30.0,58.0,36.0,25.0,40.0,190.0,15.78947368,30.52631579
2022 Q3,3.0,36.0,69.0,54.0,42.0,56.0,260.0,13.84615385,26.53846154
2022 Q4,9.0,24.0,53.0,60.0,32.0,43.0,221.0,10.85972851,23.98190045
2023 Q1,4.0,33.0,70.0,49.0,43.0,60.0,259.0,12.74131274,27.02702703
