Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,13,5,18
2017 Q2,14,10,24
2017 Q3,10,3,13
2017 Q4,12,12,24
2018 Q1,12,9,21
2018 Q2,6,10,16
2018 Q3,12,15,27
2018 Q4,17,9,26
2019 Q1,16,4,20
2019 Q2,8,8,16
2019 Q3,8,5,13
2019 Q4,14,6,20
2020 Q1,13,8,21
2020 Q2,7,4,11
2020 Q3,9,7,16
2020 Q4,7,5,12
2021 Q1,10,3,13
2021 Q2,11,6,17
2021 Q3,14,8,22
2021 Q4,15,6,21
2022 Q1,14,3,17
2022 Q2,4,6,10
2022 Q3,4,6,10
2022 Q4,15,6,21
2023 Q1,10,4,14
2023 Q2,13,4,17
2023 Q3,10,8,18
2023 Q4,10,15,25
2024 Q1,15,5,20
2024 Q2,12,6,18
2024 Q3,9,3,12
2024 Q4,6,2,8
2025 Q1,6,5,11
2025 Q2,13,1,14
2025 Q3,9,4,13
2025 Q4,4,5,9
