Filing Month,Actual Average number of days to victim contact,Average number of days to victim contact
2022 Q1,28.324,23.98055
2022 Q2,19.6371,23.13263333
2022 Q3,21.4368,19.85566667
2022 Q4,18.4931,17.4297
2023 Q1,12.3592,18.42776667
2023 Q2,24.431,15.67766667
2023 Q3,10.2428,15.23546667
2023 Q4,11.0326,10.55303333
2024 Q1,10.3837,10.2551
2024 Q2,9.349,11.52226667
2024 Q3,14.8341,11.02163333
2024 Q4,8.8818,11.4575
2025 Q1,10.6566,8.281533333
2025 Q2,5.3062,7.485366667
2025 Q3,6.4933,5.071633333
2025 Q4,3.4154,4.95435
