Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,605,964,125,1694,35.71428571
2017 Q2,634,1125,141,1900,33.36842105
2017 Q3,624,1071,160,1855,33.63881402
2017 Q4,571,1043,156,1770,32.25988701
2018 Q1,613,1087,177,1877,32.6584976
2018 Q2,706,1080,182,1968,35.87398374
2018 Q3,626,1102,210,1938,32.30134159
2018 Q4,597,1077,208,1882,31.72157279
2019 Q1,590,1161,143,1894,31.15100317
2019 Q2,659,1049,150,1858,35.46824543
2019 Q3,660,1153,194,2007,32.88490284
2019 Q4,572,1066,152,1790,31.95530726
2020 Q1,504,1009,161,1674,30.10752688
2020 Q2,404,1450,198,2052,19.68810916
2020 Q3,440,1163,147,1750,25.14285714
2020 Q4,494,1017,157,1668,29.61630695
2021 Q1,503,1092,125,1720,29.24418605
2021 Q2,492,1371,172,2035,24.17690418
2021 Q3,515,1541,175,2231,23.08381892
2021 Q4,463,1728,203,2394,19.34001671
2022 Q1,461,1520,187,2168,21.26383764
2022 Q2,426,1448,276,2150,19.81395349
2022 Q3,412,1405,317,2134,19.30646673
2022 Q4,390,1422,322,2134,18.27553889
2023 Q1,362,1459,278,2099,17.24630777
2023 Q2,385,1426,302,2113,18.22053952
2023 Q3,379,1299,379,2057,18.42489062
2023 Q4,370,1350,284,2004,18.46307385
2024 Q1,348,1438,271,2057,16.91784152
2024 Q2,355,1404,324,2083,17.04272684
2024 Q3,389,1361,277,2027,19.19092255
2024 Q4,357,1517,234,2108,16.93548387
2025 Q1,335,1258,249,1842,18.18675353
2025 Q2,322,1466,265,2053,15.68436434
2025 Q3,330,1466,270,2066,15.97289448
2025 Q4,263,1590,241,2094,12.55969436
