Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,605.0,965.0,125.0,1695.0,35.69321534
2017 Q2,634.0,1127.0,141.0,1902.0,33.33333333
2017 Q3,623.0,1073.0,160.0,1856.0,33.56681034
2017 Q4,571.0,1043.0,156.0,1770.0,32.25988701
2018 Q1,613.0,1089.0,177.0,1879.0,32.62373603
2018 Q2,705.0,1080.0,182.0,1967.0,35.84138282
2018 Q3,625.0,1103.0,210.0,1938.0,32.249742
2018 Q4,597.0,1078.0,208.0,1883.0,31.7047265
2019 Q1,590.0,1160.0,143.0,1893.0,31.16745906
2019 Q2,660.0,1049.0,150.0,1859.0,35.50295858
2019 Q3,660.0,1152.0,194.0,2006.0,32.90129611
2019 Q4,573.0,1065.0,152.0,1790.0,32.01117318
2020 Q1,503.0,1009.0,161.0,1673.0,30.06575015
2020 Q2,404.0,1451.0,198.0,2053.0,19.67851924
2020 Q3,440.0,1163.0,147.0,1750.0,25.14285714
2020 Q4,494.0,1016.0,157.0,1667.0,29.63407319
2021 Q1,504.0,1091.0,124.0,1719.0,29.31937173
2021 Q2,493.0,1369.0,172.0,2034.0,24.23795477
2021 Q3,515.0,1542.0,175.0,2232.0,23.0734767
2021 Q4,462.0,1728.0,203.0,2393.0,19.30631007
2022 Q1,461.0,1522.0,186.0,2169.0,21.25403412
2022 Q2,426.0,1446.0,278.0,2150.0,19.81395349
2022 Q3,410.0,1402.0,319.0,2131.0,19.23979352
2022 Q4,390.0,1420.0,324.0,2134.0,18.27553889
2023 Q1,360.0,1454.0,276.0,2090.0,17.22488038
