Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,560,923,41,1524,36.74540682
2017 Q2,581,1053,53,1687,34.43983402
2017 Q3,611,940,55,1606,38.04483188
2017 Q4,547,1004,60,1611,33.9540658
2018 Q1,632,985,50,1667,37.91241752
2018 Q2,650,1215,63,1928,33.71369295
2018 Q3,678,1168,57,1903,35.62795586
2018 Q4,570,1163,52,1785,31.93277311
2019 Q1,537,1657,141,2335,22.99785867
2019 Q2,541,1579,157,2277,23.75933245
2019 Q3,589,1610,173,2372,24.83136594
2019 Q4,480,1263,146,1889,25.41026998
2020 Q1,372,1118,181,1671,22.26211849
2020 Q2,388,1261,113,1762,22.02043133
2020 Q3,458,1345,102,1905,24.04199475
2020 Q4,505,1298,71,1874,26.94770544
2021 Q1,489,1328,79,1896,25.79113924
2021 Q2,441,1411,106,1958,22.52298264
2021 Q3,487,1486,106,2079,23.42472342
2021 Q4,504,1350,81,1935,26.04651163
2022 Q1,385,1416,132,1933,19.91722711
2022 Q2,484,1437,191,2112,22.91666667
2022 Q3,503,1491,174,2168,23.20110701
2022 Q4,443,1434,170,2047,21.64142648
2023 Q1,481,1450,182,2113,22.76384288
2023 Q2,481,1537,190,2208,21.78442029
2023 Q3,493,1566,191,2250,21.91111111
2023 Q4,442,1696,210,2348,18.82453152
2024 Q1,509,1836,223,2568,19.82087227
2024 Q2,459,1709,244,2412,19.02985075
2024 Q3,465,1927,296,2688,17.29910714
2024 Q4,461,1980,263,2704,17.04881657
2025 Q1,394,1811,233,2438,16.16078753
2025 Q2,404,1743,245,2392,16.88963211
2025 Q3,468,1910,251,2629,17.80144542
2025 Q4,400,1615,251,2266,17.65225066
