Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,527.0,916.0,40.0,1483.0,35.53607552
2017 Q2,562.0,1047.0,53.0,1662.0,33.81468111
2017 Q3,577.0,919.0,55.0,1551.0,37.20180529
2017 Q4,415.0,728.0,38.0,1181.0,35.13971211
2018 Q1,640.0,971.0,48.0,1659.0,38.5774563
2018 Q2,634.0,1203.0,56.0,1893.0,33.49181194
2018 Q3,652.0,1164.0,57.0,1873.0,34.8104645
2018 Q4,566.0,1274.0,61.0,1901.0,29.77380326
2019 Q1,561.0,1660.0,141.0,2362.0,23.75105843
2019 Q2,560.0,1581.0,158.0,2299.0,24.3584167
2019 Q3,624.0,1617.0,170.0,2411.0,25.88137702
2019 Q4,573.0,1261.0,127.0,1961.0,29.21978582
2020 Q1,381.0,1123.0,181.0,1685.0,22.61127596
2020 Q2,399.0,1265.0,114.0,1778.0,22.44094488
2020 Q3,480.0,1356.0,105.0,1941.0,24.72952087
2020 Q4,548.0,1460.0,103.0,2111.0,25.95926101
2021 Q1,488.0,1326.0,79.0,1893.0,25.77918648
2021 Q2,442.0,1407.0,105.0,1954.0,22.62026612
2021 Q3,487.0,1488.0,106.0,2081.0,23.40221048
2021 Q4,506.0,1351.0,81.0,1938.0,26.10939112
2022 Q1,383.0,1417.0,132.0,1932.0,19.82401656
2022 Q2,483.0,1440.0,190.0,2113.0,22.85849503
2022 Q3,503.0,1490.0,174.0,2167.0,23.21181357
2022 Q4,443.0,1436.0,169.0,2048.0,21.63085938
2023 Q1,474.0,1416.0,169.0,2059.0,23.02088392
