Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1217,2836,86
2017 Q2,1154,2990,80
2017 Q3,1258,2947,81
2017 Q4,1086,4678,231
2018 Q1,1342,5498,172
2018 Q2,1377,4193,120
2018 Q3,1457,4090,146
2018 Q4,1227,4235,148
2019 Q1,1311,3976,130
2019 Q2,1214,4616,154
2019 Q3,1195,4222,167
2019 Q4,1192,3698,129
2020 Q1,1275,4279,152
2020 Q2,1132,2892,117
2020 Q3,899,3151,111
2020 Q4,888,3363,106
2021 Q1,830,3444,237
2021 Q2,885,4679,253
2021 Q3,882,4390,213
2021 Q4,867,3685,275
2022 Q1,1061,3701,258
2022 Q2,824,3148,261
2022 Q3,842,3390,393
2022 Q4,837,3516,330
2023 Q1,815,3388,313
2023 Q2,792,3392,302
2023 Q3,825,3566,309
2023 Q4,855,3472,334
2024 Q1,862,4122,344
2024 Q2,752,3895,358
2024 Q3,827,4400,374
2024 Q4,690,3770,381
2025 Q1,687,3673,332
2025 Q2,903,3655,294
2025 Q3,798,3941,434
2025 Q4,691,3352,377
