Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1217,2836,86,4139,29.4032375
2017 Q2,1154,2990,80,4224,27.32007576
2017 Q3,1258,2947,81,4286,29.35137657
2017 Q4,1086,4678,231,5995,18.11509591
2018 Q1,1342,5498,172,7012,19.13861951
2018 Q2,1377,4193,120,5690,24.20035149
2018 Q3,1457,4090,146,5693,25.5928333
2018 Q4,1227,4235,148,5610,21.87165775
2019 Q1,1311,3976,130,5417,24.20158759
2019 Q2,1214,4616,154,5984,20.28743316
2019 Q3,1195,4222,167,5584,21.4004298
2019 Q4,1192,3698,129,5019,23.74975095
2020 Q1,1275,4279,152,5706,22.34490011
2020 Q2,1132,2892,117,4141,27.33639218
2020 Q3,899,3151,111,4161,21.60538332
2020 Q4,888,3363,106,4357,20.3809961
2021 Q1,830,3444,237,4511,18.39946797
2021 Q2,885,4679,253,5817,15.21402785
2021 Q3,882,4390,213,5485,16.08021878
2021 Q4,867,3685,275,4827,17.96146675
2022 Q1,1061,3701,258,5020,21.13545817
2022 Q2,824,3148,261,4233,19.46609969
2022 Q3,842,3390,393,4625,18.20540541
2022 Q4,837,3516,330,4683,17.87315823
2023 Q1,815,3388,313,4516,18.0469442
2023 Q2,792,3392,302,4486,17.65492644
2023 Q3,825,3566,309,4700,17.55319149
2023 Q4,855,3472,334,4661,18.34370307
2024 Q1,862,4122,344,5328,16.17867868
2024 Q2,752,3895,358,5005,15.02497502
2024 Q3,827,4400,374,5601,14.7652205
2024 Q4,690,3770,381,4841,14.25325346
2025 Q1,687,3673,332,4692,14.63570516
2025 Q2,903,3655,294,4852,18.60704719
2025 Q3,798,3941,434,5173,15.4232702
2025 Q4,691,3352,377,4420,15.62641339
