Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1237.0,2840.0,86.0
2017 Q2,1157.0,2993.0,80.0
2017 Q3,1263.0,2951.0,81.0
2017 Q4,1094.0,4681.0,231.0
2018 Q1,1341.0,5502.0,174.0
2018 Q2,1377.0,4198.0,120.0
2018 Q3,1459.0,4094.0,146.0
2018 Q4,1227.0,4242.0,149.0
2019 Q1,1316.0,3982.0,131.0
2019 Q2,1214.0,4619.0,154.0
2019 Q3,1196.0,4225.0,167.0
2019 Q4,1194.0,3700.0,129.0
2020 Q1,1278.0,4282.0,153.0
2020 Q2,1132.0,2897.0,117.0
2020 Q3,901.0,3153.0,112.0
2020 Q4,894.0,3364.0,106.0
2021 Q1,832.0,3445.0,237.0
2021 Q2,884.0,4682.0,253.0
2021 Q3,885.0,4393.0,213.0
2021 Q4,872.0,3686.0,276.0
2022 Q1,1065.0,3703.0,258.0
2022 Q2,829.0,3156.0,265.0
2022 Q3,843.0,3396.0,390.0
2022 Q4,845.0,3519.0,332.0
2023 Q1,822.0,3306.0,313.0
