Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1237.0,2840.0,86.0,4163.0,29.71414845
2017 Q2,1157.0,2993.0,80.0,4230.0,27.35224586
2017 Q3,1263.0,2951.0,81.0,4295.0,29.40628638
2017 Q4,1094.0,4681.0,231.0,6006.0,18.21511822
2018 Q1,1341.0,5502.0,174.0,7017.0,19.11073108
2018 Q2,1377.0,4198.0,120.0,5695.0,24.17910448
2018 Q3,1459.0,4094.0,146.0,5699.0,25.60098263
2018 Q4,1227.0,4242.0,149.0,5618.0,21.84051264
2019 Q1,1316.0,3982.0,131.0,5429.0,24.24019156
2019 Q2,1214.0,4619.0,154.0,5987.0,20.27726741
2019 Q3,1196.0,4225.0,167.0,5588.0,21.40300644
2019 Q4,1194.0,3700.0,129.0,5023.0,23.77065499
2020 Q1,1278.0,4282.0,153.0,5713.0,22.37003326
2020 Q2,1132.0,2897.0,117.0,4146.0,27.30342499
2020 Q3,901.0,3153.0,112.0,4166.0,21.62746039
2020 Q4,894.0,3364.0,106.0,4364.0,20.48579285
2021 Q1,832.0,3445.0,237.0,4514.0,18.4315463
2021 Q2,884.0,4682.0,253.0,5819.0,15.19161368
2021 Q3,885.0,4393.0,213.0,5491.0,16.11728283
2021 Q4,872.0,3686.0,276.0,4834.0,18.03889119
2022 Q1,1065.0,3703.0,258.0,5026.0,21.18981297
2022 Q2,829.0,3156.0,265.0,4250.0,19.50588235
2022 Q3,843.0,3396.0,390.0,4629.0,18.21127673
2022 Q4,845.0,3519.0,332.0,4696.0,17.99403748
2023 Q1,822.0,3306.0,313.0,4441.0,18.50934474
