Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of sentenced defendants detained pretrial
2017 Q1,1587,761,2348,32.41056218
2017 Q2,1482,766,2248,34.0747331
2017 Q3,1458,718,2176,32.99632353
2017 Q4,1549,766,2315,33.08855292
2018 Q1,1498,774,2272,34.06690141
2018 Q2,1445,893,2338,38.19503849
2018 Q3,1414,777,2191,35.46325879
2018 Q4,1435,792,2227,35.56353839
2019 Q1,1411,829,2240,37.00892857
2019 Q2,1462,794,2256,35.19503546
2019 Q3,1384,807,2191,36.83249658
2019 Q4,1331,810,2141,37.83278842
2020 Q1,1189,722,1911,37.78126635
2020 Q2,337,241,578,41.69550173
2020 Q3,1014,363,1377,26.36165577
2020 Q4,939,478,1417,33.73323924
2021 Q1,988,480,1468,32.69754768
2021 Q2,932,554,1486,37.28129206
2021 Q3,1187,636,1823,34.887548
2021 Q4,1103,704,1807,38.95960155
2022 Q1,1181,662,1843,35.91969615
2022 Q2,1269,894,2163,41.33148405
2022 Q3,1134,797,1931,41.27395132
2022 Q4,1060,785,1845,42.54742547
2023 Q1,1289,749,2038,36.75171737
2023 Q2,1206,817,2023,40.38556599
2023 Q3,1121,736,1857,39.63381799
2023 Q4,1163,643,1806,35.60354374
2024 Q1,1267,653,1920,34.01041667
2024 Q2,1226,741,1967,37.67158109
2024 Q3,1260,709,1969,36.00812595
2024 Q4,771,456,1227,37.16381418
2025 Q1,767,463,1230,37.64227642
2025 Q2,1091,709,1800,39.38888889
2025 Q3,1008,748,1756,42.59681093
2025 Q4,1075,566,1641,34.49116392
