Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,117,187,78,159
2017 Q2,88,175,79,159
2017 Q3,88,177,74,140
2017 Q4,101,166,106,148
2018 Q1,112,173,88,176
2018 Q2,128,176,108,181
2018 Q3,88,169,92,184
2018 Q4,102,163,85,171
2019 Q1,119,178,101,169
2019 Q2,123,174,79,175
2019 Q3,114,156,79,145
2019 Q4,111,176,78,154
2020 Q1,110,137,59,147
2020 Q2,56,84,26,67
2020 Q3,111,135,43,97
2020 Q4,115,117,70,99
2021 Q1,113,125,64,122
2021 Q2,93,121,76,110
2021 Q3,107,142,63,115
2021 Q4,84,132,74,155
2022 Q1,102,162,59,129
2022 Q2,135,167,82,172
2022 Q3,123,147,47,152
2022 Q4,89,187,48,161
2023 Q1,104,210,58,163
2023 Q2,107,216,84,157
2023 Q3,109,173,61,168
2023 Q4,89,171,59,135
2024 Q1,118,175,67,130
2024 Q2,107,195,55,132
2024 Q3,112,203,61,129
2024 Q4,86,129,27,89
2025 Q1,67,84,36,87
2025 Q2,107,172,51,116
2025 Q3,111,147,46,142
2025 Q4,93,151,41,78
