Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,1.0,8.0,13.0,9.0,18.0,12.0,61.0,13.1147541,21.31147541
2017 Q2,2.0,10.0,17.0,10.0,15.0,8.0,62.0,16.12903226,27.41935484
2017 Q3,2.0,18.0,8.0,13.0,22.0,5.0,68.0,26.47058824,11.76470588
2017 Q4,1.0,7.0,15.0,16.0,10.0,8.0,57.0,12.28070175,26.31578947
2018 Q1,1.0,8.0,11.0,15.0,16.0,4.0,55.0,14.54545455,20.0
2018 Q2,1.0,7.0,11.0,10.0,9.0,10.0,48.0,14.58333333,22.91666667
2018 Q3,4.0,15.0,8.0,18.0,14.0,5.0,64.0,23.4375,12.5
2018 Q4,4.0,6.0,25.0,9.0,17.0,8.0,69.0,8.695652174,36.23188406
2019 Q1,3.0,6.0,13.0,11.0,13.0,5.0,51.0,11.76470588,25.49019608
2019 Q2,0.0,6.0,14.0,13.0,12.0,2.0,47.0,12.76595745,29.78723404
2019 Q3,2.0,16.0,13.0,10.0,15.0,4.0,60.0,26.66666667,21.66666667
2019 Q4,4.0,10.0,8.0,15.0,16.0,2.0,55.0,18.18181818,14.54545455
2020 Q1,1.0,11.0,15.0,10.0,17.0,6.0,60.0,18.33333333,25.0
2020 Q2,0.0,6.0,16.0,10.0,25.0,4.0,61.0,9.836065574,26.2295082
2020 Q3,1.0,13.0,12.0,10.0,21.0,5.0,62.0,20.96774194,19.35483871
2020 Q4,1.0,25.0,18.0,12.0,17.0,7.0,80.0,31.25,22.5
2021 Q1,1.0,10.0,13.0,7.0,22.0,4.0,57.0,17.54385965,22.80701754
2021 Q2,0.0,11.0,13.0,17.0,25.0,6.0,72.0,15.27777778,18.05555556
2021 Q3,3.0,11.0,19.0,12.0,17.0,4.0,66.0,16.66666667,28.78787879
2021 Q4,2.0,14.0,9.0,15.0,15.0,5.0,60.0,23.33333333,15.0
2022 Q1,1.0,20.0,10.0,14.0,14.0,7.0,66.0,30.3030303,15.15151515
2022 Q2,1.0,18.0,15.0,16.0,13.0,8.0,71.0,25.35211268,21.12676056
2022 Q3,2.0,14.0,17.0,9.0,21.0,7.0,70.0,20.0,24.28571429
2022 Q4,4.0,21.0,11.0,22.0,16.0,3.0,77.0,27.27272727,14.28571429
2023 Q1,5.0,16.0,15.0,13.0,23.0,9.0,81.0,19.75308642,18.51851852
