Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,6,60,66,9.090909091,90.90909091
2017 Q2,4,77,81,4.938271605,95.0617284
2017 Q3,7,81,88,7.954545455,92.04545455
2017 Q4,3,60,63,4.761904762,95.23809524
2018 Q1,3,78,81,3.703703704,96.2962963
2018 Q2,4,76,80,5,95
2018 Q3,4,80,84,4.761904762,95.23809524
2018 Q4,4,60,64,6.25,93.75
2019 Q1,5,52,57,8.771929825,91.22807018
2019 Q2,7,86,93,7.52688172,92.47311828
2019 Q3,7,74,81,8.641975309,91.35802469
2019 Q4,8,71,79,10.12658228,89.87341772
2020 Q1,5,58,63,7.936507937,92.06349206
2020 Q2,6,65,71,8.450704225,91.54929577
2020 Q3,9,77,86,10.46511628,89.53488372
2020 Q4,13,66,79,16.4556962,83.5443038
2021 Q1,17,85,102,16.66666667,83.33333333
2021 Q2,9,78,87,10.34482759,89.65517241
2021 Q3,12,66,78,15.38461538,84.61538462
2021 Q4,8,54,62,12.90322581,87.09677419
2022 Q1,8,61,69,11.5942029,88.4057971
2022 Q2,13,87,100,13,87
2022 Q3,11,69,80,13.75,86.25
2022 Q4,7,88,95,7.368421053,92.63157895
2023 Q1,7,72,79,8.860759494,91.13924051
2023 Q2,10,58,68,14.70588235,85.29411765
2023 Q3,12,80,92,13.04347826,86.95652174
2023 Q4,13,87,100,13,87
2024 Q1,13,59,72,18.05555556,81.94444444
2024 Q2,24,78,102,23.52941176,76.47058824
2024 Q3,9,72,81,11.11111111,88.88888889
2024 Q4,10,62,72,13.88888889,86.11111111
2025 Q1,12,65,77,15.58441558,84.41558442
2025 Q2,11,76,87,12.64367816,87.35632184
2025 Q3,4,79,83,4.819277108,95.18072289
2025 Q4,11,60,71,15.49295775,84.50704225
