Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,92,57,88,237
2017 Q2,95,51,106,252
2017 Q3,94,56,106,256
2017 Q4,98,48,69,215
2018 Q1,84,63,89,236
2018 Q2,126,67,93,286
2018 Q3,118,72,90,280
2018 Q4,133,51,69,253
2019 Q1,113,46,63,222
2019 Q2,126,50,89,265
2019 Q3,99,46,70,215
2019 Q4,103,57,81,241
2020 Q1,112,38,63,213
2020 Q2,61,31,46,138
2020 Q3,54,26,54,134
2020 Q4,67,43,41,151
2021 Q1,96,35,52,183
2021 Q2,104,42,46,192
2021 Q3,120,49,35,204
2021 Q4,115,36,37,188
2022 Q1,136,49,41,226
2022 Q2,112,45,49,206
2022 Q3,121,47,41,209
2022 Q4,74,48,45,167
2023 Q1,92,33,49,174
2023 Q2,103,42,36,181
2023 Q3,99,51,40,190
2023 Q4,107,47,38,192
2024 Q1,85,39,39,163
2024 Q2,95,45,43,183
2024 Q3,74,31,31,136
2024 Q4,56,21,20,97
2025 Q1,75,16,26,117
2025 Q2,77,40,40,157
2025 Q3,58,34,45,137
2025 Q4,56,31,42,129
