Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,19.6034,22.0577
2017 Q2,18.5692,21.92
2017 Q3,20.7188,19.1071
2017 Q4,20.7424,20.75
2018 Q1,18.6716,18.9661
2018 Q2,19.6812,22.9636
2018 Q3,21.1343,21.4906
2018 Q4,18.8,20.6724
2019 Q1,20.4516,19.8571
2019 Q2,21.8095,19.7692
2019 Q3,21.1429,19.6724
2019 Q4,22.6349,21.5636
2020 Q1,19.2615,20.0
2020 Q2,17.3966,11.4286
2020 Q3,19.0536,15.2545
2020 Q4,18.6731,15.4074
2021 Q1,18.26,14.9667
2021 Q2,20.5686,17.75
2021 Q3,22.46,21.0851
2021 Q4,23.9318,19.8824
2022 Q1,20.6383,21.4583
2022 Q2,23.8684,23.3043
2022 Q3,27.9189,21.6
2022 Q4,24.2093,21.7907
