Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,523,117,640,18.28125
2017 Q2,513,125,638,19.59247649
2017 Q3,515,142,657,21.61339422
2017 Q4,548,135,683,19.76573939
2018 Q1,541,155,696,22.27011494
2018 Q2,500,223,723,30.84370678
2018 Q3,439,206,645,31.9379845
2018 Q4,465,238,703,33.85490754
2019 Q1,531,248,779,31.83568678
2019 Q2,494,209,703,29.72972973
2019 Q3,471,188,659,28.52807284
2019 Q4,433,176,609,28.8998358
2020 Q1,438,198,636,31.13207547
2020 Q2,157,83,240,34.58333333
2020 Q3,357,137,494,27.73279352
2020 Q4,357,137,494,27.73279352
2021 Q1,379,137,516,26.5503876
2021 Q2,427,137,564,24.29078014
2021 Q3,445,179,624,28.68589744
2021 Q4,443,195,638,30.56426332
2022 Q1,435,233,668,34.88023952
2022 Q2,420,251,671,37.40685544
2022 Q3,403,250,653,38.2848392
2022 Q4,375,208,583,35.67753002
2023 Q1,437,247,684,36.11111111
2023 Q2,393,246,639,38.49765258
2023 Q3,361,229,590,38.81355932
2023 Q4,338,224,562,39.85765125
2024 Q1,436,216,652,33.12883436
2024 Q2,409,259,668,38.77245509
2024 Q3,362,203,565,35.92920354
2024 Q4,244,126,370,34.05405405
2025 Q1,280,188,468,40.17094017
2025 Q2,336,167,503,33.20079523
