Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,78,63,21,27
2017 Q2,87,60,12,37
2017 Q3,87,57,11,46
2017 Q4,75,79,9,44
2018 Q1,78,62,13,44
2018 Q2,94,76,15,55
2018 Q3,110,93,9,35
2018 Q4,94,85,15,60
2019 Q1,91,77,17,58
2019 Q2,80,87,12,42
2019 Q3,85,69,18,38
2019 Q4,65,35,13,40
2020 Q1,76,63,18,40
2020 Q2,41,29,7,10
2020 Q3,80,32,11,46
2020 Q4,63,41,13,22
2021 Q1,73,52,17,37
2021 Q2,71,59,13,43
2021 Q3,85,49,17,64
2021 Q4,64,55,18,44
2022 Q1,57,42,23,57
2022 Q2,61,36,28,75
2022 Q3,52,41,21,64
2022 Q4,60,33,20,59
2023 Q1,48,55,24,90
2023 Q2,52,47,29,72
2023 Q3,44,44,22,59
2023 Q4,34,52,17,63
2024 Q1,48,51,14,66
2024 Q2,44,55,26,74
2024 Q3,54,32,15,56
2024 Q4,34,18,2,37
2025 Q1,23,26,4,31
2025 Q2,27,13,2,25
