Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,395,2798,179,3372,11.71411625
2017 Q2,363,2621,150,3134,11.58264199
2017 Q3,384,2325,196,2905,13.21858864
2017 Q4,408,2193,166,2767,14.74521142
2018 Q1,374,2545,178,3097,12.07620278
2018 Q2,425,2410,168,3003,14.15251415
2018 Q3,336,2330,197,2863,11.73594132
2018 Q4,404,2342,178,2924,13.81668947
2019 Q1,353,2448,132,2933,12.03545857
2019 Q2,350,2585,207,3142,11.13940165
2019 Q3,433,2456,190,3079,14.06300747
2019 Q4,383,2440,150,2973,12.88261016
2020 Q1,413,2458,185,3056,13.51439791
2020 Q2,293,1947,150,2390,12.25941423
2020 Q3,333,2242,134,2709,12.2923588
2020 Q4,347,2334,95,2776,12.5
2021 Q1,303,2205,101,2609,11.61364507
2021 Q2,285,2267,155,2707,10.52826007
2021 Q3,329,2275,174,2778,11.84305256
2021 Q4,317,2302,143,2762,11.47719044
2022 Q1,362,2382,132,2876,12.58692629
2022 Q2,366,1974,183,2523,14.50653983
2022 Q3,235,2085,196,2516,9.340222576
2022 Q4,303,2053,202,2558,11.84519156
2023 Q1,262,2210,163,2635,9.943074004
2023 Q2,406,2266,188,2860,14.1958042
2023 Q3,362,2409,192,2963,12.21734728
2023 Q4,398,2719,235,3352,11.87350835
2024 Q1,390,2075,150,2615,14.91395793
2024 Q2,356,2724,174,3254,10.94038107
2024 Q3,377,2649,232,3258,11.57151627
2024 Q4,368,3144,269,3781,9.732874901
2025 Q1,340,2434,183,2957,11.49814001
2025 Q2,335,2311,221,2867,11.68468783
