Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,803,18,1,822,2.189781022,149,330,479,31.10647182
2017 Q2,687,13,1,701,1.854493581,159,390,549,28.96174863
2017 Q3,801,15,1,817,1.835985312,158,375,533,29.6435272
2017 Q4,738,8,0,746,1.072386059,148,417,565,26.19469027
2018 Q1,780,20,1,801,2.496878901,134,375,509,26.32612967
2018 Q2,765,25,1,791,3.160556258,140,478,618,22.65372168
2018 Q3,796,24,5,825,2.909090909,135,428,563,23.97868561
2018 Q4,710,19,3,732,2.595628415,143,398,541,26.43253235
2019 Q1,705,30,0,735,4.081632653,141,443,584,24.14383562
2019 Q2,749,29,0,778,3.727506427,137,423,560,24.46428571
2019 Q3,819,23,1,843,2.728351127,165,384,549,30.05464481
2019 Q4,668,31,2,701,4.422253923,161,402,563,28.59680284
2020 Q1,689,17,1,707,2.404526167,158,369,527,29.98102467
2020 Q2,630,24,2,656,3.658536585,94,241,335,28.05970149
2020 Q3,558,25,4,587,4.258943782,139,322,461,30.15184382
2020 Q4,599,7,0,606,1.155115512,152,316,468,32.47863248
2021 Q1,541,31,0,572,5.41958042,158,251,409,38.63080685
2021 Q2,533,15,0,548,2.737226277,142,318,460,30.86956522
2021 Q3,522,25,0,547,4.570383912,147,328,475,30.94736842
2021 Q4,474,26,0,500,5.2,133,251,384,34.63541667
2022 Q1,462,26,0,488,5.327868852,145,273,418,34.68899522
2022 Q2,472,31,2,505,6.138613861,130,256,386,33.67875648
2022 Q3,532,39,0,571,6.830122592,124,221,345,35.94202899
2022 Q4,518,32,1,551,5.807622505,139,236,375,37.06666667
2023 Q1,512,26,1,539,4.823747681,127,249,376,33.77659574
2023 Q2,476,29,2,508,5.708661417,140,273,413,33.89830508
2023 Q3,526,25,2,555,4.504504505,130,249,379,34.30079156
2023 Q4,521,15,1,537,2.793296089,124,195,319,38.87147335
2024 Q1,513,12,0,527,2.277039848,125,225,350,35.71428571
2024 Q2,539,23,0,562,4.09252669,134,214,348,38.50574713
2024 Q3,515,25,4,544,4.595588235,100,218,318,31.44654088
2024 Q4,538,18,0,558,3.225806452,94,147,241,39.00414938
2025 Q1,495,29,0,524,5.534351145,62,153,215,28.8372093
2025 Q2,516,29,1,547,5.301645338,125,281,406,30.78817734
2025 Q3,528,41,1,570,7.192982456,100,247,347,28.8184438
2025 Q4,463,32,0,496,6.451612903,115,218,333,34.53453453
