Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,233,472,35,740,31.48648649
2017 Q2,212,945,47,1204,17.60797342
2017 Q3,259,860,50,1169,22.15568862
2017 Q4,275,785,27,1087,25.29898804
2018 Q1,243,802,37,1082,22.45841035
2018 Q2,282,827,65,1174,24.02044293
2018 Q3,275,888,95,1258,21.86009539
2018 Q4,225,795,37,1057,21.28666036
2019 Q1,215,863,36,1114,19.29982047
2019 Q2,261,764,24,1049,24.88083889
2019 Q3,286,940,35,1261,22.68041237
2019 Q4,296,796,41,1133,26.12533098
2020 Q1,243,750,22,1015,23.9408867
2020 Q2,241,846,33,1120,21.51785714
2020 Q3,252,1076,54,1382,18.23444284
2020 Q4,194,1232,45,1471,13.18830727
2021 Q1,250,951,21,1222,20.45826514
2021 Q2,230,943,44,1217,18.8989318
2021 Q3,244,978,45,1267,19.25808998
2021 Q4,212,869,33,1114,19.03052065
2022 Q1,220,729,34,983,22.38046796
2022 Q2,192,697,81,970,19.79381443
2022 Q3,209,755,85,1049,19.92373689
2022 Q4,187,695,56,938,19.93603412
2023 Q1,197,723,34,954,20.64989518
2023 Q2,196,661,33,890,22.02247191
2023 Q3,193,835,55,1083,17.82086796
2023 Q4,133,838,36,1007,13.20754717
2024 Q1,157,907,38,1102,14.24682396
2024 Q2,148,729,36,913,16.21029573
