Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2020 Q1,232,20,252,92.06349206,7.936507937
2020 Q2,166,15,181,91.71270718,8.287292818
2020 Q3,165,36,201,82.08955224,17.91044776
2020 Q4,192,34,226,84.95575221,15.04424779
2021 Q1,243,69,312,77.88461538,22.11538462
2021 Q2,404,52,456,88.59649123,11.40350877
2021 Q3,318,60,378,84.12698413,15.87301587
2021 Q4,354,59,413,85.71428571,14.28571429
2022 Q1,341,70,411,82.96836983,17.03163017
2022 Q2,324,40,364,89.01098901,10.98901099
2022 Q3,192,36,228,84.21052632,15.78947368
2022 Q4,152,59,211,72.03791469,27.96208531
2023 Q1,151,32,183,82.5136612,17.4863388
2023 Q2,178,62,240,74.16666667,25.83333333
2023 Q3,165,44,209,78.94736842,21.05263158
2023 Q4,155,37,192,80.72916667,19.27083333
2024 Q1,168,53,221,76.01809955,23.98190045
2024 Q2,156,35,191,81.67539267,18.32460733
2024 Q3,157,62,219,71.68949772,28.31050228
2024 Q4,123,91,214,57.47663551,42.52336449
2025 Q1,224,92,316,70.88607595,29.11392405
2025 Q2,304,127,431,70.53364269,29.46635731
2025 Q3,283,136,419,67.54176611,32.45823389
2025 Q4,248,77,325,76.30769231,23.69230769
