Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2020 Q1,118,41,159,74.21383648,25.78616352
2020 Q2,97,35,132,73.48484848,26.51515152
2020 Q3,89,26,115,77.39130435,22.60869565
2020 Q4,58,28,86,67.44186047,32.55813953
2021 Q1,91,32,123,73.98373984,26.01626016
2021 Q2,106,63,169,62.72189349,37.27810651
2021 Q3,82,59,141,58.15602837,41.84397163
2021 Q4,144,59,203,70.93596059,29.06403941
2022 Q1,128,57,185,69.18918919,30.81081081
2022 Q2,119,59,178,66.85393258,33.14606742
2022 Q3,121,55,176,68.75,31.25
2022 Q4,77,42,119,64.70588235,35.29411765
2023 Q1,53,33,86,61.62790698,38.37209302
2023 Q2,54,16,70,77.14285714,22.85714286
2023 Q3,74,26,100,74,26
2023 Q4,92,21,113,81.4159292,18.5840708
2024 Q1,51,31,82,62.19512195,37.80487805
2024 Q2,70,22,92,76.08695652,23.91304348
2024 Q3,82,22,104,78.84615385,21.15384615
2024 Q4,39,26,65,60,40
2025 Q1,55,24,79,69.62025316,30.37974684
2025 Q2,85,27,112,75.89285714,24.10714286
2025 Q3,49,25,74,66.21621622,33.78378378
2025 Q4,68,25,93,73.11827957,26.88172043
