Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,8,78,86,9.302325581,90.69767442
2017 Q2,8,78,86,9.302325581,90.69767442
2017 Q3,8,87,95,8.421052632,91.57894737
2017 Q4,6,71,77,7.792207792,92.20779221
2018 Q1,8,99,107,7.476635514,92.52336449
2018 Q2,13,74,87,14.94252874,85.05747126
2018 Q3,9,90,99,9.090909091,90.90909091
2018 Q4,10,97,107,9.345794393,90.65420561
2019 Q1,9,64,73,12.32876712,87.67123288
2019 Q2,6,68,74,8.108108108,91.89189189
2019 Q3,9,75,84,10.71428571,89.28571429
2019 Q4,11,64,75,14.66666667,85.33333333
2020 Q1,7,70,77,9.090909091,90.90909091
2020 Q2,15,82,97,15.46391753,84.53608247
2020 Q3,10,86,96,10.41666667,89.58333333
2020 Q4,11,85,96,11.45833333,88.54166667
2021 Q1,15,97,112,13.39285714,86.60714286
2021 Q2,14,60,74,18.91891892,81.08108108
2021 Q3,8,80,88,9.090909091,90.90909091
2021 Q4,16,92,108,14.81481481,85.18518519
2022 Q1,16,63,79,20.25316456,79.74683544
2022 Q2,20,91,111,18.01801802,81.98198198
2022 Q3,20,97,117,17.09401709,82.90598291
2022 Q4,16,96,112,14.28571429,85.71428571
2023 Q1,15,83,98,15.30612245,84.69387755
2023 Q2,17,86,103,16.50485437,83.49514563
2023 Q3,20,101,121,16.52892562,83.47107438
2023 Q4,9,90,99,9.090909091,90.90909091
2024 Q1,23,110,133,17.29323308,82.70676692
2024 Q2,12,72,84,14.28571429,85.71428571
2024 Q3,14,96,110,12.72727273,87.27272727
2024 Q4,10,98,108,9.259259259,90.74074074
2025 Q1,14,82,96,14.58333333,85.41666667
2025 Q2,19,97,116,16.37931034,83.62068966
2025 Q3,12,89,101,11.88118812,88.11881188
2025 Q4,20,85,105,19.04761905,80.95238095
