Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,34,18,1,21
2017 Q2,34,19,1,25
2017 Q3,39,12,3,22
2017 Q4,29,15,5,41
2018 Q1,37,16,1,45
2018 Q2,36,21,1,39
2018 Q3,27,16,2,31
2018 Q4,22,27,4,31
2019 Q1,35,21,3,56
2019 Q2,31,26,1,35
2019 Q3,28,27,4,33
2019 Q4,31,37,1,19
2020 Q1,22,20,4,39
2020 Q2,26,21,0,21
2020 Q3,29,21,2,24
2020 Q4,22,6,4,39
2021 Q1,34,17,3,41
2021 Q2,27,23,4,53
2021 Q3,24,22,1,36
2021 Q4,28,16,6,36
2022 Q1,39,26,3,42
2022 Q2,23,29,2,38
2022 Q3,25,18,5,28
2022 Q4,31,12,1,28
2023 Q1,16,7,1,19
2023 Q2,26,17,2,31
2023 Q3,25,18,2,19
2023 Q4,23,15,2,31
2024 Q1,15,10,1,29
2024 Q2,22,11,2,24
2024 Q3,18,13,1,31
2024 Q4,14,6,0,13
2025 Q1,13,3,0,13
