Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,247,100,347,28.8184438
2017 Q2,261,83,344,24.12790698
2017 Q3,274,92,366,25.13661202
2017 Q4,278,102,380,26.84210526
2018 Q1,268,88,356,24.71910112
2018 Q2,280,80,360,22.22222222
2018 Q3,308,86,394,21.82741117
2018 Q4,282,73,355,20.56338028
2019 Q1,260,83,343,24.19825073
2019 Q2,268,77,345,22.31884058
2019 Q3,308,102,410,24.87804878
2019 Q4,294,82,376,21.80851064
2020 Q1,296,81,377,21.48541114
2020 Q2,161,50,211,23.69668246
2020 Q3,274,85,359,23.67688022
2020 Q4,249,52,301,17.27574751
2021 Q1,234,52,286,18.18181818
2021 Q2,240,69,309,22.33009709
2021 Q3,276,72,348,20.68965517
2021 Q4,211,81,292,27.73972603
2022 Q1,261,82,343,23.90670554
2022 Q2,211,54,265,20.37735849
2022 Q3,188,66,254,25.98425197
2022 Q4,184,51,235,21.70212766
2023 Q1,147,50,197,25.38071066
2023 Q2,183,45,228,19.73684211
2023 Q3,165,43,208,20.67307692
2023 Q4,148,47,195,24.1025641
2024 Q1,162,46,208,22.11538462
2024 Q2,172,59,231,25.54112554
2024 Q3,178,58,236,24.57627119
2024 Q4,123,51,174,29.31034483
2025 Q1,100,31,131,23.66412214
2025 Q2,199,52,251,20.71713147
2025 Q3,193,73,266,27.44360902
2025 Q4,159,67,226,29.6460177
