Disposition Quarter,Average number of hearings per case
2017 Q1,8.3044
2017 Q2,7.7938
2017 Q3,8.4212
2017 Q4,7.9839
2018 Q1,8.6529
2018 Q2,8.731
2018 Q3,8.6207
2018 Q4,8.8447
2019 Q1,8.9753
2019 Q2,8.9556
2019 Q3,8.6989
2019 Q4,8.7721
2020 Q1,9.1007
2020 Q2,9.7265
2020 Q3,10.3673
2020 Q4,10.2314
2021 Q1,10.4669
2021 Q2,11.0346
2021 Q3,10.3112
2021 Q4,10.5087
2022 Q1,10.4456
2022 Q2,10.6242
2022 Q3,10.536
2022 Q4,10.6268
2023 Q1,10.1688
2023 Q2,10.3767
2023 Q3,10.1651
2023 Q4,10.3691
2024 Q1,10.6805
2024 Q2,10.6594
2024 Q3,10.5313
2024 Q4,9.9688
2025 Q1,9.8158
2025 Q2,10.1523
2025 Q3,9.7368
2025 Q4,9.9343
