Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,258.9456,222
2017 Q2,232.1675,176
2017 Q3,243.6186,199
2017 Q4,243.752,195
2018 Q1,251.6363,207
2018 Q2,272.476,226
2018 Q3,242.9877,197
2018 Q4,256.6878,203
2019 Q1,264.7827,219
2019 Q2,256.5552,211
2019 Q3,254.1435,202
2019 Q4,256.2182,206
2020 Q1,262.6438,214
2020 Q2,305.9717,260
2020 Q3,325.7443,284
2020 Q4,324.1695,294
2021 Q1,330.3259,294.5
2021 Q2,332.1007,283
2021 Q3,341.016,304
2021 Q4,365.5023,306
2022 Q1,356.3156,294
2022 Q2,364.8544,301
2022 Q3,365.0774,285
2022 Q4,377.8547,289.5
2023 Q1,340.3012,270
2023 Q2,323.4676,260.5
2023 Q3,324.1274,259
2023 Q4,312.8934,253
2024 Q1,307.7003,242
2024 Q2,317.9213,265
2024 Q3,307.3277,248.5
2024 Q4,292.9019,230.5
2025 Q1,295.5527,235.5
2025 Q2,304.6182,240.5
2025 Q3,295.2083,238
2025 Q4,296.2492,237
