Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,408,338,746,54.69168901
2017 Q2,370,377,747,49.53145917
2017 Q3,321,312,633,50.71090047
2017 Q4,291,276,567,51.32275132
2018 Q1,307,400,707,43.42291372
2018 Q2,270,331,601,44.92512479
2018 Q3,272,355,627,43.38118022
2018 Q4,290,373,663,43.74057315
2019 Q1,309,351,660,46.81818182
2019 Q2,417,447,864,48.26388889
2019 Q3,361,345,706,51.13314448
2019 Q4,352,399,751,46.87083888
2020 Q1,336,353,689,48.76632801
2020 Q2,153,178,331,46.22356495
2020 Q3,219,258,477,45.91194969
2020 Q4,210,247,457,45.95185996
2021 Q1,169,283,452,37.38938053
2021 Q2,223,333,556,40.10791367
2021 Q3,209,308,517,40.42553191
2021 Q4,185,290,475,38.94736842
2022 Q1,180,322,502,35.85657371
2022 Q2,206,313,519,39.69171484
2022 Q3,212,384,596,35.5704698
2022 Q4,183,328,511,35.81213307
2023 Q1,188,353,541,34.75046211
2023 Q2,182,351,533,34.14634146
2023 Q3,202,328,530,38.11320755
2023 Q4,165,331,496,33.26612903
2024 Q1,220,332,552,39.85507246
2024 Q2,192,299,491,39.10386965
2024 Q3,204,306,510,40
2024 Q4,129,182,311,41.47909968
2025 Q1,140,184,324,43.20987654
2025 Q2,228,290,518,44.01544402
2025 Q3,236,286,522,45.21072797
2025 Q4,235,238,473,49.68287526
