Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,20.0,130.0,150.0,13.33333333,118.0,865.0,983.0,12.00406918
2017 Q2,21.0,130.0,151.0,13.90728477,94.0,964.0,1058.0,8.884688091
2017 Q3,33.0,133.0,166.0,19.87951807,81.0,637.0,718.0,11.28133705
2017 Q4,31.0,130.0,161.0,19.25465839,93.0,639.0,732.0,12.70491803
2018 Q1,24.0,159.0,183.0,13.1147541,93.0,721.0,814.0,11.42506143
2018 Q2,24.0,127.0,151.0,15.89403974,103.0,707.0,810.0,12.71604938
2018 Q3,31.0,139.0,170.0,18.23529412,124.0,836.0,960.0,12.91666667
2018 Q4,32.0,131.0,163.0,19.63190184,89.0,808.0,897.0,9.921962096
2019 Q1,35.0,168.0,203.0,17.24137931,103.0,847.0,950.0,10.84210526
2019 Q2,27.0,153.0,180.0,15.0,112.0,1028.0,1140.0,9.824561404
2019 Q3,27.0,145.0,172.0,15.69767442,153.0,1379.0,1532.0,9.98694517
2019 Q4,27.0,131.0,158.0,17.08860759,115.0,860.0,975.0,11.79487179
2020 Q1,43.0,172.0,215.0,20.0,106.0,728.0,834.0,12.70983213
2020 Q2,28.0,125.0,153.0,18.30065359,39.0,382.0,421.0,9.263657957
2020 Q3,24.0,158.0,182.0,13.18681319,67.0,539.0,606.0,11.05610561
2020 Q4,29.0,173.0,202.0,14.35643564,71.0,560.0,631.0,11.25198098
2021 Q1,41.0,191.0,232.0,17.67241379,93.0,725.0,818.0,11.36919315
2021 Q2,37.0,171.0,208.0,17.78846154,99.0,857.0,956.0,10.35564854
2021 Q3,48.0,196.0,244.0,19.67213115,92.0,627.0,719.0,12.79554937
2021 Q4,59.0,245.0,304.0,19.40789474,71.0,413.0,484.0,14.66942149
2022 Q1,54.0,220.0,274.0,19.7080292,92.0,472.0,564.0,16.31205674
