Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2021 Q4,1045,462,1507,30.65693431
2022 Q1,1103,447,1550,28.83870968
2022 Q2,1175,473,1648,28.70145631
2022 Q3,1106,499,1605,31.09034268
2022 Q4,1017,405,1422,28.48101266
2023 Q1,1138,450,1588,28.33753149
2023 Q2,1128,416,1544,26.94300518
2023 Q3,1130,384,1514,25.36327609
2023 Q4,1059,371,1430,25.94405594
2024 Q1,1117,370,1487,24.88231338
2024 Q2,1302,410,1712,23.94859813
2024 Q3,1264,383,1647,23.25440194
2024 Q4,828,264,1092,24.17582418
2025 Q1,790,259,1049,24.69018112
2025 Q2,1338,415,1753,23.67370222
2025 Q3,1243,389,1632,23.83578431
2025 Q4,1121,293,1414,20.72135785
