Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2021 Q4,119,111,50,144,214,7,70,41,756,25.3968254,14.68253968,59.92063492
2022 Q1,116,91,47,171,224,5,71,44,769,28.60858257,11.83355007,59.55786736
2022 Q2,112,123,60,148,256,8,62,34,803,23.66127024,15.31755915,61.02117061
2022 Q3,123,128,37,157,236,10,64,30,785,25.0955414,16.30573248,58.59872611
2022 Q4,130,106,46,151,175,12,48,28,696,27.44252874,15.22988506,57.32758621
2023 Q1,178,123,45,169,220,9,91,33,868,24.30875576,14.17050691,61.52073733
2023 Q2,169,139,71,149,209,8,111,42,898,22.16035635,15.47884187,62.36080178
2023 Q3,167,120,61,155,173,15,85,27,803,24.53300125,14.94396015,60.52303861
2023 Q4,190,124,56,117,166,8,56,19,736,19.56521739,16.84782609,63.58695652
2024 Q1,185,108,54,135,190,11,54,17,754,21.61803714,14.32360743,64.05835544
2024 Q2,183,138,63,160,202,11,56,29,842,23.75296912,16.38954869,59.85748219
2024 Q3,197,155,49,169,215,11,64,24,884,23.07692308,17.53393665,59.38914027
2024 Q4,136,81,35,101,150,4,30,20,557,22.44165171,14.54219031,63.01615799
2025 Q1,109,99,38,95,144,2,30,17,534,21.34831461,18.53932584,60.11235955
2025 Q2,195,201,53,145,204,4,48,42,892,21.41255605,22.53363229,56.05381166
2025 Q3,231,178,59,141,208,7,57,33,914,19.80306346,19.47483589,60.72210066
2025 Q4,178,150,54,152,175,4,51,22,786,22.64631043,19.08396947,58.2697201
