Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,19.6667,20.9
2017 Q2,18.8056,22.2414
2017 Q3,18.9429,20.3667
2017 Q4,21.4706,19.7
2018 Q1,22.6333,20.125
2018 Q2,20.2778,19.9667
2018 Q3,21.5405,21.5714
2018 Q4,20.1351,24.0645
2019 Q1,20.4865,20.25
2019 Q2,19.0571,24.5938
2019 Q3,22.025,20.4054
2019 Q4,21.6667,21.6471
2020 Q1,19.4571,21.5152
2020 Q2,15.3333,14.5217
2020 Q3,14,17.9333
2020 Q4,18.1613,14.1515
2021 Q1,17.8125,18.6061
2021 Q2,18.2903,17.0313
2021 Q3,19.125,15.8462
2021 Q4,17.5938,18.2759
2022 Q1,17.2593,18.8571
2022 Q2,16.4815,20.2667
2022 Q3,17.963,17.76
2022 Q4,16.3333,18.913
2023 Q1,17.625,18.5172
2023 Q2,18.5357,19.6538
2023 Q3,18.1154,18.64
2023 Q4,21.04,20.75
2024 Q1,19.56,18.7308
2024 Q2,22.7083,20.2593
2024 Q3,28.0909,23.3333
2024 Q4,23.7619,16.65
2025 Q1,24.4211,16.5263
2025 Q2,23.9048,24.9545
2025 Q3,27.7222,24.8421
2025 Q4,26.3684,22.65
