Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,51.8462,53.6098
2017 Q2,63.2778,56.9444
2017 Q3,60.1905,58.0286
2017 Q4,59.9487,56.4865
2018 Q1,56.3158,59.1143
2018 Q2,53.4286,64.5758
2018 Q3,58.4286,58.5833
2018 Q4,56.8158,59.1892
2019 Q1,57.4103,56.1765
2019 Q2,56.2093,67.7813
2019 Q3,52.5641,58.3333
2019 Q4,55.6889,56.4737
2020 Q1,49.0698,47.9744
2020 Q2,43.8158,34.4167
2020 Q3,51.725,52.5946
2020 Q4,57.25,41.6765
2021 Q1,53.9487,59.069
2021 Q2,52.3333,51.8182
2021 Q3,80.303,60.6667
2021 Q4,73.1613,99.48
2022 Q1,62.5806,83.1786
2022 Q2,52.4667,68.6774
2022 Q3,62.0333,60.9655
2022 Q4,46.5714,55.3103
2023 Q1,57.4074,52.3704
2023 Q2,61.7308,57.4231
2023 Q3,73.2609,72.1818
2023 Q4,67.1739,61.72
2024 Q1,77.9048,69.8636
2024 Q2,73.619,74.5909
2024 Q3,94.8889,77.5789
2024 Q4,88.4737,57.4444
2025 Q1,89.1667,63.3889
2025 Q2,110.8125,103.8235
2025 Q3,147.3333,121.9286
2025 Q4,166,128.9167
