Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,618.0,149.0,767.0,80.57366362,19.42633638
2017 Q2,566.0,173.0,739.0,76.58998647,23.41001353
2017 Q3,630.0,155.0,785.0,80.25477707,19.74522293
2017 Q4,594.0,141.0,735.0,80.81632653,19.18367347
2018 Q1,513.0,146.0,659.0,77.84522003,22.15477997
2018 Q2,550.0,116.0,666.0,82.58258258,17.41741742
2018 Q3,477.0,130.0,607.0,78.58319605,21.41680395
2018 Q4,549.0,144.0,693.0,79.22077922,20.77922078
2019 Q1,517.0,155.0,672.0,76.93452381,23.06547619
2019 Q2,603.0,187.0,790.0,76.32911392,23.67088608
2019 Q3,533.0,157.0,690.0,77.24637681,22.75362319
2019 Q4,421.0,144.0,565.0,74.51327434,25.48672566
2020 Q1,425.0,131.0,556.0,76.43884892,23.56115108
2020 Q2,527.0,169.0,696.0,75.7183908,24.2816092
2020 Q3,651.0,191.0,842.0,77.31591449,22.68408551
2020 Q4,575.0,217.0,792.0,72.6010101,27.3989899
2021 Q1,554.0,212.0,766.0,72.32375979,27.67624021
2021 Q2,677.0,252.0,929.0,72.87405813,27.12594187
2021 Q3,872.0,230.0,1102.0,79.12885662,20.87114338
2021 Q4,646.0,225.0,871.0,74.16762342,25.83237658
2022 Q1,701.0,238.0,939.0,74.65388711,25.34611289
2022 Q2,811.0,260.0,1071.0,75.72362278,24.27637722
2022 Q3,642.0,201.0,843.0,76.15658363,23.84341637
2022 Q4,660.0,309.0,969.0,68.11145511,31.88854489
2023 Q1,837.0,222.0,1059.0,79.0368272,20.9631728
