Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,78.0,86.0,164.0,47.56097561,52.43902439
2017 Q2,115.0,110.0,225.0,51.11111111,48.88888889
2017 Q3,72.0,89.0,161.0,44.72049689,55.27950311
2017 Q4,80.0,89.0,169.0,47.33727811,52.66272189
2018 Q1,116.0,83.0,199.0,58.29145729,41.70854271
2018 Q2,97.0,87.0,184.0,52.7173913,47.2826087
2018 Q3,101.0,102.0,203.0,49.75369458,50.24630542
2018 Q4,95.0,88.0,183.0,51.91256831,48.08743169
2019 Q1,109.0,68.0,177.0,61.5819209,38.4180791
2019 Q2,150.0,96.0,246.0,60.97560976,39.02439024
2019 Q3,88.0,76.0,164.0,53.65853659,46.34146341
2019 Q4,101.0,76.0,177.0,57.06214689,42.93785311
2020 Q1,92.0,53.0,145.0,63.44827586,36.55172414
2020 Q2,107.0,36.0,143.0,74.82517483,25.17482517
2020 Q3,105.0,30.0,135.0,77.77777778,22.22222222
2020 Q4,84.0,43.0,127.0,66.14173228,33.85826772
2021 Q1,127.0,47.0,174.0,72.98850575,27.01149425
2021 Q2,135.0,67.0,202.0,66.83168317,33.16831683
2021 Q3,95.0,54.0,149.0,63.75838926,36.24161074
2021 Q4,121.0,58.0,179.0,67.59776536,32.40223464
2022 Q1,135.0,58.0,193.0,69.94818653,30.05181347
2022 Q2,129.0,51.0,180.0,71.66666667,28.33333333
2022 Q3,117.0,44.0,161.0,72.67080745,27.32919255
2022 Q4,132.0,46.0,178.0,74.15730337,25.84269663
2023 Q1,89.0,41.0,130.0,68.46153846,31.53846154
