Filing Quarter,Actual Average number of days to victim contact,Average number of days to victim contact
23-Jan,114.3333,147.5877
23-Feb,180.8421,128.0660333
23-Mar,89.0227,111.3478
23-Apr,64.1786,68.406
23-May,52.0167,58.4444
23-Jun,59.1379,65.87023333
23-Jul,86.4561,58.9617
23-Aug,31.2911,46.00346667
23-Sep,20.2632,35.38476667
23-Oct,54.6,35.09076667
23-Nov,30.4091,37.62033333
23-Dec,27.8519,35.49726667
24-Jan,48.2308,38.20813333
24-Feb,38.5417,38.87343333
24-Mar,29.8478,37.12983333
24-Apr,43,32.97613333
24-May,26.0806,35.91283333
24-Jun,38.6579,33.1877
24-Jul,34.8246,32.22516667
24-Aug,23.193,34.2889
24-Sep,44.8491,28.28486667
24-Oct,16.8125,29.4983
24-Nov,26.8333,20.15836667
24-Dec,16.8293,18.7401
25-Jan,12.5577,13.99566667
25-Feb,12.6,12.61553333
25-Mar,12.6889,13.329
25-Apr,14.6981,12.8552
25-May,11.1786,10.82163333
25-Jun,6.5882,8.8834
