Disposition Quarter,Number of cases resulting in conviction,Number of cases resulting in no conviction,Total Cases Disposed,Percent of cases resulting in conviction
2017 Q1,32,8,40,80
2017 Q2,23,4,27,85.18518519
2017 Q3,20,10,30,66.66666667
2017 Q4,25,9,34,73.52941176
2018 Q1,23,6,29,79.31034483
2018 Q2,22,3,25,88
2018 Q3,27,14,41,65.85365854
2018 Q4,20,11,31,64.51612903
2019 Q1,25,9,34,73.52941176
2019 Q2,22,7,29,75.86206897
2019 Q3,32,7,39,82.05128205
2019 Q4,20,10,30,66.66666667
2020 Q1,20,7,27,74.07407407
2020 Q2,20,4,24,83.33333333
2020 Q3,15,2,17,88.23529412
2020 Q4,16,6,22,72.72727273
2021 Q1,24,2,26,92.30769231
2021 Q2,28,8,36,77.77777778
2021 Q3,18,8,26,69.23076923
2021 Q4,15,5,20,75
2022 Q1,21,6,27,77.77777778
2022 Q2,24,12,36,66.66666667
2022 Q3,17,15,32,53.125
2022 Q4,12,11,23,52.17391304
2023 Q1,18,4,22,81.81818182
2023 Q2,23,4,27,85.18518519
2023 Q3,16,10,26,61.53846154
2023 Q4,18,4,22,81.81818182
2024 Q1,12,8,20,60
2024 Q2,21,4,25,84
2024 Q3,13,6,19,68.42105263
