Disposition Quarter,Number of cases resulting in conviction,Number of cases resulting in no conviction,Total Cases Disposed,Percent of cases resulting in conviction
2017 Q1,32.0,7.0,39.0,82.05128205
2017 Q2,23.0,5.0,28.0,82.14285714
2017 Q3,20.0,10.0,30.0,66.66666667
2017 Q4,25.0,7.0,32.0,78.125
2018 Q1,23.0,6.0,29.0,79.31034483
2018 Q2,23.0,3.0,26.0,88.46153846
2018 Q3,27.0,14.0,41.0,65.85365854
2018 Q4,20.0,11.0,31.0,64.51612903
2019 Q1,25.0,9.0,34.0,73.52941176
2019 Q2,22.0,7.0,29.0,75.86206897
2019 Q3,32.0,6.0,38.0,84.21052632
2019 Q4,20.0,8.0,28.0,71.42857143
2020 Q1,20.0,6.0,26.0,76.92307692
2020 Q2,20.0,3.0,23.0,86.95652174
2020 Q3,15.0,1.0,16.0,93.75
2020 Q4,16.0,2.0,18.0,88.88888889
2021 Q1,23.0,2.0,25.0,92.0
2021 Q2,29.0,5.0,34.0,85.29411765
2021 Q3,18.0,8.0,26.0,69.23076923
2021 Q4,15.0,4.0,19.0,78.94736842
2022 Q1,22.0,6.0,28.0,78.57142857
2022 Q2,24.0,11.0,35.0,68.57142857
2022 Q3,18.0,14.0,32.0,56.25
2022 Q4,12.0,11.0,23.0,52.17391304
2023 Q1,18.0,4.0,22.0,81.81818182
