Filing Year,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,29.7500,16.2857
2017 Q2,29.2,23.5
2017 Q3,23.16666667,32.5
2017 Q4,32,24.42857143
2018 Q1,21.28571429,31.6
2018 Q2,28.14285714,25
2018 Q3,25.85714286,22
2018 Q4,22,31.33333333
2019 Q1,22.28571429,25.71428571
2019 Q2,19.71428571,29
2019 Q3,23.71428571,20.14285714
2019 Q4,20.83333333,28.4
2020 Q1,23,28.8
2020 Q2,17.16666667,18
2020 Q3,22.33333333,22
2020 Q4,23.8,18.66666667
2021 Q1,19.16666667,24.5
2021 Q2,22.16666667,29.25
2021 Q3,21.16666667,27.4
2021 Q4,15.57142857,19.5
2022 Q1,14.25,19.5
2022 Q2,17.2,19.8
2022 Q3,26,24.2
2022 Q4,17.66666667,17
2023 Q1,18.28571429,15.14285714
2023 Q2,18.83333333,18.85714286
2023 Q3,16.71428571,16.85714286
2023 Q4,16.125,16.5
2024 Q1,19.28571429,13.71428571
2024 Q2,13.85714286,17.42857143
2024 Q3,25,19.14285714
2024 Q4,19,14.71428571
2025 Q1,25.66666667,20
2025 Q2,30,31.2
2025 Q3,23.8,23.4
2025 Q4,31.5,28.25
