Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,147.6325,98
2017 Q2,149.4749,99
2017 Q3,123.7549,91
2017 Q4,145.2,101
2018 Q1,158.0143,118
2018 Q2,155.0304,111.5
2018 Q3,137.6054,84
2018 Q4,131.5911,84
2019 Q1,149.6375,103.5
2019 Q2,154.8397,112
2019 Q3,155.5966,110.5
2019 Q4,140.8899,101.5
2020 Q1,153.4907,116.5
2020 Q2,152.8293,113.5
2020 Q3,172.2711,123
2020 Q4,210.9141,160
2021 Q1,201.855,153
2021 Q2,238.0893,196
2021 Q3,250.1505,203.5
2021 Q4,211.2449,166
2022 Q1,218.5223,166.5
2022 Q2,258.4009,210.5
2022 Q3,229.8683,179
2022 Q4,199.7213,145
2023 Q1,243.5674,171
2023 Q2,189.0656,153
2023 Q3,228.7007,159
2023 Q4,221.4932,138
2024 Q1,228.425,160.5
2024 Q2,239.0366,186.5
2024 Q3,215.3025,143.5
2024 Q4,195.3594,140.5
2025 Q1,213.5385,175
2025 Q2,208.3819,168.5
2025 Q3,234.9384,195.5
2025 Q4,218.4453,176
