Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,94,53,147,63.94557823
2017 Q2,78,48,126,61.9047619
2017 Q3,69,46,115,60
2017 Q4,70,74,144,48.61111111
2018 Q1,77,72,149,51.67785235
2018 Q2,79,73,152,51.97368421
2018 Q3,85,64,149,57.04697987
2018 Q4,83,66,149,55.70469799
2019 Q1,61,95,156,39.1025641
2019 Q2,78,75,153,50.98039216
2019 Q3,87,76,163,53.37423313
2019 Q4,72,71,143,50.34965035
2020 Q1,73,78,151,48.34437086
2020 Q2,56,53,109,51.37614679
2020 Q3,84,64,148,56.75675676
2020 Q4,62,60,122,50.81967213
2021 Q1,63,65,128,49.21875
2021 Q2,51,85,136,37.5
2021 Q3,48,67,115,41.73913043
2021 Q4,49,70,119,41.17647059
2022 Q1,54,85,139,38.84892086
2022 Q2,50,78,128,39.0625
2022 Q3,66,56,122,54.09836066
2022 Q4,49,53,102,48.03921569
2023 Q1,58,33,91,63.73626374
2023 Q2,56,55,111,50.45045045
2023 Q3,42,47,89,47.19101124
2023 Q4,32,50,82,39.02439024
2024 Q1,40,49,89,44.94382022
2024 Q2,41,44,85,48.23529412
2024 Q3,39,52,91,42.85714286
2024 Q4,62,24,86,72.09302326
2025 Q1,27,23,50,54
2025 Q2,49,38,87,56.32183908
2025 Q3,35,46,81,43.20987654
2025 Q4,34,40,74,45.94594595
