Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,93,141,234,39.74358974,60.25641026
2017 Q2,87,132,219,39.7260274,60.2739726
2017 Q3,74,130,204,36.2745098,63.7254902
2017 Q4,91,129,220,41.36363636,58.63636364
2018 Q1,98,112,210,46.66666667,53.33333333
2018 Q2,107,123,230,46.52173913,53.47826087
2018 Q3,78,145,223,34.97757848,65.02242152
2018 Q4,73,130,203,35.96059113,64.03940887
2019 Q1,91,149,240,37.91666667,62.08333333
2019 Q2,112,125,237,47.25738397,52.74261603
2019 Q3,112,126,238,47.05882353,52.94117647
2019 Q4,94,124,218,43.11926606,56.88073394
2020 Q1,103,111,214,48.13084112,51.86915888
2020 Q2,79,85,164,48.17073171,51.82926829
2020 Q3,114,111,225,50.66666667,49.33333333
2020 Q4,130,68,198,65.65656566,34.34343434
2021 Q1,120,80,200,60,40
2021 Q2,159,65,224,70.98214286,29.01785714
2021 Q3,135,51,186,72.58064516,27.41935484
2021 Q4,129,67,196,65.81632653,34.18367347
2022 Q1,155,69,224,69.19642857,30.80357143
2022 Q2,159,53,212,75,25
2022 Q3,128,77,205,62.43902439,37.56097561
2022 Q4,101,82,183,55.19125683,44.80874317
2023 Q1,115,63,178,64.60674157,35.39325843
2023 Q2,112,71,183,61.20218579,38.79781421
2023 Q3,95,52,147,64.62585034,35.37414966
2023 Q4,85,63,148,57.43243243,42.56756757
2024 Q1,101,59,160,63.125,36.875
2024 Q2,115,49,164,70.12195122,29.87804878
2024 Q3,99,63,162,61.11111111,38.88888889
2024 Q4,75,53,128,58.59375,41.40625
2025 Q1,58,33,91,63.73626374,36.26373626
2025 Q2,95,49,144,65.97222222,34.02777778
2025 Q3,104,42,146,71.23287671,28.76712329
2025 Q4,87,41,128,67.96875,32.03125
