Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1008,4479,165,5652,17.8343949
2017 Q2,973,3615,143,4731,20.56647643
2017 Q3,898,4175,199,5272,17.03338392
2017 Q4,973,4229,219,5421,17.94871795
2018 Q1,991,3736,181,4908,20.19152404
2018 Q2,1036,4320,181,5537,18.71049305
2018 Q3,1047,3868,215,5130,20.40935673
2018 Q4,1024,3809,175,5008,20.44728435
2019 Q1,987,4152,148,5287,18.668432
2019 Q2,1106,3915,169,5190,21.31021195
2019 Q3,1105,3488,135,4728,23.3714044
2019 Q4,1097,3757,164,5018,21.86129932
2020 Q1,965,4074,188,5227,18.46183279
2020 Q2,856,2949,123,3928,21.79226069
2020 Q3,766,2442,115,3323,23.05145952
2020 Q4,744,2675,82,3501,21.25107112
2021 Q1,745,3044,90,3879,19.20598092
2021 Q2,653,3179,108,3940,16.57360406
2021 Q3,746,2363,145,3254,22.92562999
2021 Q4,725,3138,118,3981,18.21150465
2022 Q1,760,3165,135,4060,18.71921182
2022 Q2,689,2254,136,3079,22.37739526
2022 Q3,817,2796,177,3790,21.55672823
2022 Q4,716,2644,146,3506,20.42213349
2023 Q1,742,3072,175,3989,18.60115317
2023 Q2,730,3085,152,3967,18.40181497
2023 Q3,801,2583,180,3564,22.47474747
2023 Q4,761,3442,312,4515,16.85492802
2024 Q1,757,3261,230,4248,17.82015066
2024 Q2,837,3368,205,4410,18.97959184
2024 Q3,851,3709,321,4881,17.43495185
2024 Q4,832,3871,256,4959,16.77757612
2025 Q1,778,4355,247,5380,14.46096654
2025 Q2,903,4718,333,5954,15.16627477
2025 Q3,879,5025,468,6372,13.79472693
2025 Q4,832,4062,357,5251,15.84460103
