Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1407.0,7276.0,344.0
2017 Q2,1336.0,6237.0,293.0
2017 Q3,1293.0,6503.0,395.0
2017 Q4,1384.0,6424.0,386.0
2018 Q1,1366.0,6282.0,359.0
2018 Q2,1463.0,6734.0,349.0
2018 Q3,1385.0,6206.0,413.0
2018 Q4,1428.0,6155.0,353.0
2019 Q1,1360.0,6610.0,283.0
2019 Q2,1462.0,6501.0,376.0
2019 Q3,1541.0,5952.0,325.0
2019 Q4,1485.0,6201.0,315.0
2020 Q1,1379.0,6537.0,374.0
2020 Q2,1152.0,4901.0,273.0
2020 Q3,1102.0,4690.0,250.0
2020 Q4,1096.0,5017.0,177.0
2021 Q1,1051.0,5249.0,191.0
2021 Q2,942.0,5451.0,263.0
2021 Q3,1081.0,4641.0,319.0
2021 Q4,1047.0,5439.0,262.0
2022 Q1,1123.0,5547.0,267.0
2022 Q2,1061.0,4228.0,320.0
2022 Q3,1054.0,4880.0,373.0
2022 Q4,1019.0,4698.0,349.0
2023 Q1,986.0,5201.0,337.0
