Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1407.0,7276.0,344.0,9027.0,15.58657361
2017 Q2,1336.0,6237.0,293.0,7866.0,16.98449021
2017 Q3,1293.0,6503.0,395.0,8191.0,15.78561836
2017 Q4,1384.0,6424.0,386.0,8194.0,16.89040762
2018 Q1,1366.0,6282.0,359.0,8007.0,17.06007244
2018 Q2,1463.0,6734.0,349.0,8546.0,17.11912006
2018 Q3,1385.0,6206.0,413.0,8004.0,17.30384808
2018 Q4,1428.0,6155.0,353.0,7936.0,17.99395161
2019 Q1,1360.0,6610.0,283.0,8253.0,16.47885617
2019 Q2,1462.0,6501.0,376.0,8339.0,17.53207819
2019 Q3,1541.0,5952.0,325.0,7818.0,19.71092351
2019 Q4,1485.0,6201.0,315.0,8001.0,18.56017998
2020 Q1,1379.0,6537.0,374.0,8290.0,16.6344994
2020 Q2,1152.0,4901.0,273.0,6326.0,18.2105596
2020 Q3,1102.0,4690.0,250.0,6042.0,18.23899371
2020 Q4,1096.0,5017.0,177.0,6290.0,17.42448331
2021 Q1,1051.0,5249.0,191.0,6491.0,16.19164998
2021 Q2,942.0,5451.0,263.0,6656.0,14.15264423
2021 Q3,1081.0,4641.0,319.0,6041.0,17.89438835
2021 Q4,1047.0,5439.0,262.0,6748.0,15.51570836
2022 Q1,1123.0,5547.0,267.0,6937.0,16.18855413
2022 Q2,1061.0,4228.0,320.0,5609.0,18.91602781
2022 Q3,1054.0,4880.0,373.0,6307.0,16.7115903
2022 Q4,1019.0,4698.0,349.0,6066.0,16.79854929
2023 Q1,986.0,5201.0,337.0,6524.0,15.11342735
