Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,3.0,20.0,23.0,13.04347826,23.1884058,17.0,93.0,110.0,15.45454545
2017 Q2,6.0,12.0,18.0,33.33333333,21.25603865,15.0,101.0,116.0,12.93103448
2017 Q3,4.0,19.0,23.0,17.39130435,21.81017334,15.0,99.0,114.0,13.15789474
2017 Q4,5.0,29.0,34.0,14.70588235,17.10931864,24.0,91.0,115.0,20.86956522
2018 Q1,5.0,21.0,26.0,19.23076923,21.97888386,16.0,116.0,132.0,12.12121212
2018 Q2,8.0,17.0,25.0,32.0,24.76923077,19.0,111.0,130.0,14.61538462
2018 Q3,3.0,10.0,13.0,23.07692308,23.12087912,16.0,82.0,98.0,16.32653061
2018 Q4,5.0,30.0,35.0,14.28571429,25.41717542,13.0,93.0,106.0,12.26415094
2019 Q1,7.0,11.0,18.0,38.88888889,28.39153439,19.0,94.0,113.0,16.81415929
2019 Q2,8.0,17.0,25.0,32.0,32.40155945,20.0,91.0,111.0,18.01801802
2019 Q3,5.0,14.0,19.0,26.31578947,23.28475034,18.0,94.0,112.0,16.07142857
2019 Q4,3.0,23.0,26.0,11.53846154,12.61808367,19.0,83.0,102.0,18.62745098
2020 Q1,0.0,20.0,20.0,0.0,7.354925776,8.0,73.0,81.0,9.87654321
2020 Q2,2.0,17.0,19.0,10.52631579,8.771929825,10.0,59.0,69.0,14.49275362
2020 Q3,3.0,16.0,19.0,15.78947368,22.10526316,16.0,76.0,92.0,17.39130435
2020 Q4,2.0,3.0,5.0,40.0,26.92982456,14.0,75.0,89.0,15.73033708
2021 Q1,2.0,6.0,8.0,25.0,27.22222222,10.0,72.0,82.0,12.19512195
2021 Q2,2.0,10.0,12.0,16.66666667,17.81045752,13.0,87.0,100.0,13.0
2021 Q3,2.0,15.0,17.0,11.76470588,9.477124183,15.0,73.0,88.0,17.04545455
2021 Q4,0.0,15.0,15.0,0.0,11.61387632,23.0,107.0,130.0,17.69230769
2022 Q1,3.0,10.0,13.0,23.07692308,11.53846154,13.0,76.0,89.0,14.60674157
